"Acrotona sylvicola","Lithobius cf mutabilis juv","Lithobius sp.","Schendyla nemorensis","Geostiba circellaris","Habrocerus capillaricornis","Othius sp. juv m","Staphylinidae sp. juv s","Diplocephalus picinus","Gnaphosidae sp. juv","Microneta viaria","Neobisium sp.","Robertus lividus","Tapinocyba insecta","Geophilus truncorum","Lithobius forficatus","Lithobius forficatus juv","Heterothops dissimilis juv","Clubionidae juv","Lithobius curtipes m","Lithobius sp2 l","Campodea sp. l","Cantharidae sp.","Staphylinidae spec","Geophilomorpha sp.","Harpactea lepida juv large","Tenuiphantes mengei","Amaurobius fenestralis","Agriotes aterrimus juv","Pterostichus sp.","Agriotes sp. juv","algae","Brachychthoniidae spp.","Oribatella calcarata","omnivorous nematodes","Enchytraeidae","Arion silvaticus","Cychrus attenuatus","Carabus nemoralis","amoebae","Isotomiella minor","Megalothorax minimus","Parisotoma notabilis","Lumbricus rubellus juv xl","Dendrobaena octaedra juv","predacious nematodes","Ceratophysella sp.","Lumbricus rubellus xxl","Xenylla grisea","Athous haemorrhoidalis juv","Athous sp. juv","Athous subfuscus juv m","Oxypoda annularis","Linyphiidae juv","Atropacarus striculus","bacteria","Deuteraphorura inermis","Protaphorura sp.","bacterivorous nematodes","flagellates","ciliates","Mesaphorura sp.","Tachyusa sp. juv","Gamasina sp. juv","Lysigamasus puerilis","Pergamasinae juv xs","Uropoda minima","Uropoda minima juv","Uroseius cylindricus","Uroseius cylindricus juv","Veigaia sp. juv","Zercon cf gurensis","Zercon sp. juv","Oribatida sp. juv","Microppia minus","Nothrus silvestris","Oppiella nova","Leptogamasus cf tectegynellus","Lysigamasus puerilis juv","Lysigamasus sp.","Macrocheles sp.","Pachylaelaps bellicosus","Pachylaelaps cf bellicosus juv","Pachylaelaps laeuchlii","Veigaia planicola","Suctobelbella sp.","Xantholinus sp. juv s","Brachyderinae sp.","Heterothops sp. juv","Linyphiidae cf Erigoniinae juv m","Chamobates cuspidatus","Chamobates voigtsi","Coccinella septempunctata","Coleoptera sp.","Dalopius marginatus juv m","Damaeus riparius","dead organic matter","Metabelba pulverosa","Phthiracarus compressus","Phthiracarus globosus","Tectocepheus velatus alatus","saphrophytes","Rhysotritia duplicata","Geotrupes spec","Elateridae sp.","Folsomia quadrioculata","fungivorous nematodes","leaf litter","Lepidocyrtus lanuginosus","Lepidocyrtus curvicolis","Lepidocyrtus lignorum","mykorrhiza","Steganacarus magnus","plants","Tropiphorus sp.","root exudates","root feeding nematodes","roots"
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
