"species","movement_type","bodymass","metabolic_type","biomass"
"Phthiracarus compressus","walking",0.000123863,"invertebrate",0.031585065
"Phthiracarus lentulus","walking",0.000228193,"invertebrate",0.116150237
"Phthiracarus longulus","walking",6.8e-05,"invertebrate",0.01734
"Platynothrus peltifer","walking",0.000111057,"invertebrate",0.056528013
"Porobelba spinosa","walking",1.49e-05,"invertebrate",0.0113836
"Quadroppia quadricarinata","walking",4.77e-06,"invertebrate",0.00121635
"Scheloribates laevigatus","walking",6.58e-05,"invertebrate",0.016779
"saphrophytes","other",-999,"heterotrophic fungi",NA
"Phthiracarus laevigatus","walking",0.000367071,"invertebrate",0.093603105
"Rhysotritia duplicata","walking",0.000173747,"invertebrate",0.044305485
"Elateridae sp1 juv l","walking",0.01092301,"invertebrate",0.04369204
"Linyphiidae cf Erigoniinae juv m","walking",0.000220271,"invertebrate",0.024670352
"Folsomia quadrioculata","walking",5.41e-06,"invertebrate",0.06471442
"fungivorous nematodes","walking",5.35e-07,"invertebrate",NA
"leaf litter","sessile",-999,"dead organic material",NA
"Tomocerus vulgaris","walking",1.46e-05,"invertebrate",0.003723
"Lepidocyrtus sp. juv","walking",8.99e-06,"invertebrate",0.00229245
"Microtritia minima","walking",2.74e-05,"invertebrate",0.1255194
"mykorrhiza","other",-999,"heterotrophic fungi",NA
"Scheloribates initialis","walking",4.24e-05,"invertebrate",0.0539752
"Ptiliidae sp.","walking",0.001136191,"invertebrate",0.004544764
"plants","sessile",-999,"primary producer",NA
"root exudates","sessile",-999,"primary producer",NA
"root feeding nematodes","walking",2.35e-07,"invertebrate",NA
"roots","sessile",-999,"primary producer",NA
