"species","movement_type","bodymass","metabolic_type","biomass"
"Achipteria coleoptrata","walking",5e-05,"invertebrate",0.07635
"Lithobius crassipes","walking",0.003348347,"invertebrate",0.053573552
"Lithobius cf crassipes juv","walking",0.000951286,"invertebrate",0.015220576
"Lithobius sp1 s","walking",4.11e-05,"invertebrate",0.0006576
"Lithobius sp.","walking",0.00359344,"invertebrate",0.06827536
"Geophilus ribauti","walking",0.004253993,"invertebrate",0.068063888
"Lithobius sp2 l","walking",0.000157031,"invertebrate",0.017587472
"algae","sessile",-999,"primary producer",NA
"Arrhopalites pygmaeus","walking",5.1e-06,"invertebrate",0.0013005
"Desoria violacea","walking",8.34e-06,"invertebrate",0.00637176
"Deuterosminthurus pallipes","walking",5.1e-06,"invertebrate",0.0013005
"Scutigerella immaculata xs","walking",4.38e-06,"invertebrate",7.008e-05
"Brachychthoniidae spp.","walking",7.11e-06,"invertebrate",0.00361899
"Eulohmannia ribagai","walking",8.7e-05,"invertebrate",0.022185
"omnivorous nematodes","walking",6.02e-05,"invertebrate",NA
"Enchytraeidae","walking",-999,"invertebrate",NA
"Discus rotundatus","walking",0.007771684,"invertebrate",0.015543368
"Discus rotundatus juv","walking",0.003997226,"invertebrate",0.063955616
"Arion silvaticus","walking",0.192352467,"invertebrate",1.154114802
"Pulmonata sp. juv","walking",0.000232019,"invertebrate",0.000464038
"Arionidae sp.","walking",0.173821667,"invertebrate",0.347643334
"Azeca goodalli","walking",0.010612956,"invertebrate",0.031838868
"Amaurobius sp. juv","walking",0.012068147,"invertebrate",0.084477029
"Lithobius dentatus","walking",0.006537213,"invertebrate",0.104595408
"Geophilus insculptus","walking",0.005906476,"invertebrate",0.189007232
"Strigamia acuminata","walking",0.006997365,"invertebrate",0.29388933
"Trogulus sp. juv","walking",0.012859195,"invertebrate",0.02571839
"Geophilomorpha sp.","walking",0.006669259,"invertebrate",0.046684813
"Harpactea lepida large","walking",0.014693674,"invertebrate",0.044081022
"Eurocoelotes inermis","walking",0.086659497,"invertebrate",0.086659497
"amoebae","other",2.8e-08,"invertebrate",NA
"Ceratophysella denticulata","walking",5.96e-06,"invertebrate",0.01062072
"Isotomiella minor","walking",3.27e-06,"invertebrate",0.00582714
"Megalothorax minimus","walking",1.52e-05,"invertebrate",0.0348232
"Parisotoma notabilis","walking",2.41e-06,"invertebrate",0.00245338
"Aporrectodea caliginosa juv xl","walking",0.267537302,"invertebrate",5.35074604
"Aporrectodea rosea","walking",0.219642857,"invertebrate",1.757142856
"Aporrectodea rosea juv","walking",0.085811429,"invertebrate",5.491931456
"Lumbricus rubellus juv","walking",0.135,"invertebrate",0.54
"Chamobates borealis","walking",1.99e-05,"invertebrate",0.0101291
"predacious nematodes","walking",3.56e-06,"invertebrate",NA
"Aporrectodea caliginosa juv xxxl","walking",0.207777778,"invertebrate",1.662222224
"Octolasion tyrtaeum juv xxl","walking",0.378272222,"invertebrate",9.078533328
"Limax cinereoniger","walking",3.3210975,"invertebrate",3.3210975
"Vulgarogamasus sp. juv","walking",5.1e-05,"invertebrate",0.038964
"Epicrius canestrinii","walking",2.2e-05,"invertebrate",0.022396
"Holoparasitus stramenti","walking",3.12e-05,"invertebrate",0.0158808
"Lysigamasus lapponicus","walking",5.21e-05,"invertebrate",0.0132855
"Pergamasinae juv xs","walking",6.46e-06,"invertebrate",0.00328814
"Prozercon fimbriatus","walking",6.12e-06,"invertebrate",0.00467568
"Uroseius cylindricus juv","walking",2.39e-05,"invertebrate",0.0060945
"Veigaia exigua","walking",1.59e-05,"invertebrate",0.0202407
"Veigaia kochi juv","walking",0.000101558,"invertebrate",0.02589729
"Veigaia nemorensis","walking",4.83e-05,"invertebrate",0.0369012
"Zercon cf gurensis","walking",1.22e-05,"invertebrate",0.0093208
"Athous subfuscus juv l","walking",0.00467099,"invertebrate",0.07473584
"Staphylinidae sp. juv s","walking",0.010186866,"invertebrate",0.132429258
"Phalangiidae sp. juv","walking",0.005966949,"invertebrate",0.011933898
"Robertus lividus","walking",0.008396656,"invertebrate",0.235106368
"Harpactea lepida juv large","walking",0.004962887,"invertebrate",0.064517531
