FW_name,link.citation,geographic.location,longitude,latitude,ecosystem.type,study.site,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,temperature,ecosystem.type
HEW21,Digel et al. (2014),Germany,10.32,51.19,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,8.814133333,Soil
HEW22,Digel et al. (2014),Germany,10.36,51.34,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,8.686323529,Soil
HEW36,Digel et al. (2014),Germany,10.41,51.11,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,8.446811594,Soil
HEW47,Digel et al. (2014),Germany,10.38,51.18,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,8.967164179,Soil
SEW01,Digel et al. (2014),Germany,13.85,52.9,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.4845,Soil
SEW02,Digel et al. (2014),Germany,13.78,52.95,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,8.662142857,Soil
SEW03,Digel et al. (2014),Germany,13.64,52.92,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.212884615,Soil
SEW04,Digel et al. (2014),Germany,13.85,52.92,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,8.976615385,Soil
SEW05,Digel et al. (2014),Germany,13.89,53.06,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,10.80631579,Soil
SEW06,Digel et al. (2014),Germany,13.84,52.91,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,10.85970588,Soil
SEW07,Digel et al. (2014),Germany,13.69,53.11,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.296923077,Soil
SEW08,Digel et al. (2014),Germany,13.93,53.19,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.087666667,Soil
SEW09,Digel et al. (2014),Germany,13.81,53.04,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.095666667,Soil
SEW18,Digel et al. (2014),Germany,13.92,52.86,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.632,Soil
SEW35,Digel et al. (2014),Germany,13.85,52.91,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.902,Soil
SEW36,Digel et al. (2014),Germany,13.75,52.95,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,8.330227273,Soil
SEW37,Digel et al. (2014),Germany,13.78,52.94,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.719245283,Soil
SEW41,Digel et al. (2014),Germany,13.91,52.91,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,11.06315789,Soil
SEW43,Digel et al. (2014),Germany,13.93,52.9,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.547,Soil
SEW48,Digel et al. (2014),Germany,13.84,53.05,terrestrial belowground,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.407272727,Soil
