FW_name,link.citation,geographic.location,lat,lon,ecosystem.type,study.site,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,temperature
SEW06,Digel et al. (2014),Germany,52.91,13.84,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,10.85970588
SEW07,Digel et al. (2014),Germany,53.11,13.69,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.296923077
SEW08,Digel et al. (2014),Germany,53.19,13.93,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.087666667
SEW09,Digel et al. (2014),Germany,53.04,13.81,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.095666667
SEW18,Digel et al. (2014),Germany,52.86,13.92,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.632
SEW35,Digel et al. (2014),Germany,52.91,13.85,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.902
SEW36,Digel et al. (2014),Germany,52.95,13.75,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,8.330227273
SEW37,Digel et al. (2014),Germany,52.94,13.78,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.719245283
SEW41,Digel et al. (2014),Germany,52.91,13.91,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,11.06315789
SEW43,Digel et al. (2014),Germany,52.9,13.93,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.547
SEW48,Digel et al. (2014),Germany,53.05,13.84,Soils,Biodiversity Exploratory soil food webs,-999,-999,early summer 2008 + 2011,2008,2011,NA,9.407272727
