"species","movement_type","bodymass","metabolic_type","biomass"
"Veigaia sp. juv","walking",6.03e-06,"invertebrate",0.00153765
"Zercon cf gurensis","walking",1.22e-05,"invertebrate",0.0155306
"Zercon sp. juv","walking",7.12e-06,"invertebrate",0.0018156
"Hypochthonius rufulus","walking",2.51e-05,"invertebrate",0.0064005
"Oribatida sp. juv","walking",7.36e-07,"invertebrate",0.007117856
"Microppia minus","walking",3.83e-06,"invertebrate",0.00194947
"Nothrus silvestris","walking",8.43e-05,"invertebrate",0.0214965
"Oppiella nova","walking",8.99e-06,"invertebrate",0.05491092
"Oppiella subpectinata","walking",1.52e-05,"invertebrate",0.1121912
"Suctobelbella sp.","walking",6.17e-06,"invertebrate",0.02041653
"Pergamasinae juv s","walking",1.87e-05,"invertebrate",0.0047685
"Hahnia pusilla juv","walking",0.000174151,"invertebrate",0.025077744
"Chamobates cuspidatus","walking",1.55e-05,"invertebrate",0.0078895
"Curculionidae sp.","walking",0.006092829,"invertebrate",0.006092829
"dead organic matter","sessile",-999,"dead organic material",NA
"Phthiracarus longulus","walking",6.8e-05,"invertebrate",0.01734
"Platynothrus peltifer","walking",0.000111057,"invertebrate",0.084847548
"Porobelba spinosa","walking",1.49e-05,"invertebrate",0.0037995
"Tectocepheus minor","walking",9.85e-06,"invertebrate",0.00501365
"Tectocepheus velatus alatus","walking",1.35e-05,"invertebrate",0.0034425
"saphrophytes","other",-999,"heterotrophic fungi",NA
"Elateridae sp1 juv m","walking",0.000283672,"invertebrate",0.013616256
"Folsomia quadrioculata","walking",5.41e-06,"invertebrate",0.06058118
"Folsomia spinosa","walking",5.41e-06,"invertebrate",0.00964062
"fungivorous nematodes","walking",5.35e-07,"invertebrate",NA
"Glomeris marginata","walking",0.016627644,"invertebrate",0.266042304
"Glomeris sp.","walking",0.226675,"invertebrate",0.45335
"leaf litter","sessile",-999,"dead organic material",NA
"Lepidocyrtus lanuginosus","walking",8.99e-06,"invertebrate",0.01144427
"mykorrhiza","other",-999,"heterotrophic fungi",NA
"Pantelozetes paolii","walking",1.22e-05,"invertebrate",0.003111
"Steganacarus magnus","walking",0.0004634,"invertebrate",0.3540376
"Otiorhynchus sp.","walking",0.002731116,"invertebrate",0.087395712
"plants","sessile",-999,"primary producer",NA
"Cepea hortensis","walking",0.278305436,"invertebrate",0.278305436
"root exudates","sessile",-999,"primary producer",NA
"root feeding nematodes","walking",2.35e-07,"invertebrate",NA
"roots","sessile",-999,"primary producer",NA
