"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"BP2.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"BP2.csv"
"Petaloconchus sp","sessile",0.01,"invertebrate",0.1,"BP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"BP2.csv"
"Crassostrea virginica","sessile",0.01,"invertebrate",0.1,"BP2.csv"
"Isognomon bicolor","sessile",0.01,"invertebrate",0.1,"BP2.csv"
"Sebidae","swimming",0.01,"invertebrate",0.001,"BP2.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"BP2.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",172,"BP2.csv"
"Pachygrapsus transversus","walking",0.24,"invertebrate",0.24,"BP2.csv"
"Nodilittorina lineolata","walking",0.01,"invertebrate",0.1,"BP2.csv"
"Rhizoclonium riparium","sessile",0.000228,"primary producer",71,"BP2.csv"
"Sphacelaria sp","sessile",0.000228,"primary producer",198,"BP2.csv"
"Asteronema breviarticulatum","sessile",0.000228,"primary producer",0.01,"BP2.csv"
"Acanthophora spicifera","sessile",0.000228,"primary producer",0.01,"BP2.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",0.01,"BP2.csv"
"Jania rubens","sessile",0.000228,"primary producer",83.8,"BP2.csv"
"Amphiroa sp","sessile",0.000228,"primary producer",0.01,"BP2.csv"
