"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",0.5,"GJAP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"GJAP2.csv"
"Phallusia nigra","sessile",0.01,"invertebrate",0.1,"GJAP2.csv"
"Brachidontes sp.","sessile",0.001,"invertebrate",0.0054,"GJAP2.csv"
"Eudistoma vannamei","sessile",0.01,"invertebrate",0.1,"GJAP2.csv"
"Gammaridae","swimming",8e-04,"invertebrate",8e-04,"GJAP2.csv"
"Sabellidae","sessile",6e-04,"invertebrate",0.0023,"GJAP2.csv"
"Spirorbis sp.","sessile",3e-04,"invertebrate",0.65,"GJAP2.csv"
"Polychaeta","walking",8e-04,"invertebrate",0.0047,"GJAP2.csv"
"Pagurus sp.","walking",0.79,"invertebrate",0.79,"GJAP2.csv"
"Fissurella rosea","walking",0.0015,"invertebrate",0.38,"GJAP2.csv"
"Mangelia sp.","walking",0.0064,"invertebrate",0.0064,"GJAP2.csv"
"Stramonita haemastoma","walking",2.04,"invertebrate",4.08,"GJAP2.csv"
"Eulithidium affine","walking",4e-04,"invertebrate",7e-04,"GJAP2.csv"
"Tanaidacea","walking",0.0015,"invertebrate",0.0213,"GJAP2.csv"
"Isopoda","walking",6e-04,"invertebrate",6e-04,"GJAP2.csv"
"Oligochaeta","walking",7e-04,"invertebrate",0.0054,"GJAP2.csv"
"Callinectes ornatus","swimming",0.5,"invertebrate",1,"GJAP2.csv"
"Polysyncraton amethysteum","sessile",4.65,"invertebrate",4.65,"GJAP2.csv"
"Bryopsis sp.","sessile",0.000228,"primary producer",0.01,"GJAP2.csv"
"Tegula viridula","walking",2.585,"invertebrate",15.51,"GJAP2.csv"
"Lithopoma phoebium","walking",7.795,"invertebrate",15.59,"GJAP2.csv"
"Bathygobius soporator","swimming",0.54,"ectotherm vertebrate",0.54,"GJAP2.csv"
"Caulerpa racemosa","sessile",0.000228,"primary producer",1.38,"GJAP2.csv"
"Caulerpa scalpelliformis","sessile",0.000228,"primary producer",3.5,"GJAP2.csv"
"Caulerpa sp.","sessile",0.000228,"primary producer",1.14,"GJAP2.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",26.35,"GJAP2.csv"
"Dictyota menstrualis","sessile",0.000228,"primary producer",NA,"GJAP2.csv"
"Centroceras clavulatum","sessile",0.000228,"primary producer",58.7,"GJAP2.csv"
"Corallina sp.","sessile",0.000228,"primary producer",52.9,"GJAP2.csv"
