"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Balanus sp.","sessile",0.01,"invertebrate",0.1,"L4P1.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"L4P1.csv"
"Lipophrys trigloides","swimming",1.5,"ectotherm vertebrate",3,"L4P1.csv"
"Lipophrys pholis","swimming",0.56,"ectotherm vertebrate",11.84,"L4P1.csv"
"Coryphoblennius galerita","swimming",0.6,"ectotherm vertebrate",0.6,"L4P1.csv"
"Carcinus maenas","walking",0.01,"invertebrate",0.1,"L4P1.csv"
"Necora puber","walking",0.01,"invertebrate",0.1,"L4P1.csv"
"Nucella sp.","walking",0.01,"invertebrate",0.1,"L4P1.csv"
"Insecta","swimming",0.0017,"invertebrate",0.005,"L4P1.csv"
"Nassariidae","walking",0.31,"invertebrate",1.22,"L4P1.csv"
"Palaemon longirostris","swimming",0.24,"invertebrate",1.45,"L4P1.csv"
"Palaemon elegans","swimming",0.13,"invertebrate",1.25,"L4P1.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"L4P1.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"L4P1.csv"
"Porifera","sessile",0.01,"invertebrate",0.1,"L4P1.csv"
"Ectoprocta","sessile",0.01,"invertebrate",0.01,"L4P1.csv"
"Musculus costulatus","sessile",0.005,"invertebrate",0.06,"L4P1.csv"
"Tricolia pullus","walking",0.0089,"invertebrate",0.009,"L4P1.csv"
"Cardiidae","sessile",2e-04,"invertebrate",2e-04,"L4P1.csv"
"Turtonia minuta","sessile",0.0011,"invertebrate",0.001,"L4P1.csv"
"Chthamalus sp.","sessile",0.01,"invertebrate",0.1,"L4P1.csv"
"Aulactinia verrucosa","sessile",0.5,"invertebrate",0.5,"L4P1.csv"
"Oligochaeta","walking",0.01,"invertebrate",0.01,"L4P1.csv"
"Mytilus galloprovincialis","sessile",0.54,"invertebrate",10.78,"L4P1.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"L4P1.csv"
"Jaera sp.","swimming",0.01,"invertebrate",0.001,"L4P1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",399.8,"L4P1.csv"
"Asterina gibbosa","walking",0.6,"invertebrate",0.6,"L4P1.csv"
"Paracentrotus lividus","walking",2.99,"invertebrate",5.99,"L4P1.csv"
"Actinia equina","sessile",1.57,"invertebrate",12.57,"L4P1.csv"
"Acanthochitona crinita","walking",0.18,"invertebrate",0.54,"L4P1.csv"
"Lepidochitona cinerea","walking",0.15,"invertebrate",0.15,"L4P1.csv"
"Gibbula umbilicalis","walking",0.37,"invertebrate",7.78,"L4P1.csv"
"Rissoidae","walking",0.002,"invertebrate",0.002,"L4P1.csv"
"Omalogyra atomus","walking",5e-04,"invertebrate",0.008,"L4P1.csv"
"Barleeia sp.","walking",6e-04,"invertebrate",6e-04,"L4P1.csv"
"Aplysia punctata","walking",2.36,"invertebrate",23.58,"L4P1.csv"
"Sphaeromatidae","walking",0.01,"invertebrate",0.001,"L4P1.csv"
"Stenothoidae","swimming",0.01,"invertebrate",0.001,"L4P1.csv"
"Calliopidae","swimming",0.01,"invertebrate",0.001,"L4P1.csv"
"Leucothoidae","swimming",0.01,"invertebrate",0.001,"L4P1.csv"
"Xantho pilipes","walking",0.01,"invertebrate",0.1,"L4P1.csv"
"Pirimela denticulata","walking",0.32,"invertebrate",0.32,"L4P1.csv"
"Codium sp.","sessile",0.000228,"primary producer",660,"L4P1.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",82.9,"L4P1.csv"
"Bifurcaria bifurcata","sessile",0.000228,"primary producer",2426,"L4P1.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",123.8,"L4P1.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",2251,"L4P1.csv"
"Dictyota dichotoma","sessile",0.000228,"primary producer",9,"L4P1.csv"
"Anemonia sulcata","sessile",3.9,"invertebrate",123.8,"L4P1.csv"
"Padina pavonica","sessile",0.000228,"primary producer",17,"L4P1.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",474,"L4P1.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",638,"L4P1.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"L4P1.csv"
"Ceramium ciliatum","sessile",0.000228,"primary producer",82.9,"L4P1.csv"
"Nemertea","walking",0.01,"invertebrate",0.01,"L4P1.csv"
"Turridae","walking",0.01,"invertebrate",0.008,"L4P1.csv"
