"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Gammaridae","swimming",0.001,"invertebrate",0.001,"MBP2.csv"
"Stenothoidae","swimming",0.0033,"invertebrate",0.029,"MBP2.csv"
"Sphaeromatidae","walking",0.0017,"invertebrate",0.0034,"MBP2.csv"
"Polychaeta","walking",0.002,"invertebrate",0.0057,"MBP2.csv"
"Carcinus maenas","walking",0.0047,"invertebrate",0.01,"MBP2.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"MBP2.csv"
"Harparticoida","swimming",0.001,"invertebrate",0.001,"MBP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"MBP2.csv"
"Spirorbis spirorbis","sessile",2e-04,"invertebrate",0.1,"MBP2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"MBP2.csv"
"Oligochaeta","walking",9e-04,"invertebrate",0.012,"MBP2.csv"
"Insecta","swimming",2e-04,"invertebrate",0.001,"MBP2.csv"
"Omalogyra atomus","walking",3e-04,"invertebrate",0.1,"MBP2.csv"
"Fucus vesiculosus","sessile",0.000228,"primary producer",635,"MBP2.csv"
"Littorina littorea","walking",0.0169,"invertebrate",0.1689,"MBP2.csv"
"Gibbula umbilicalis","walking",0.486,"invertebrate",4.09,"MBP2.csv"
"Ascophyllum nodosum","sessile",0.000228,"primary producer",0.1,"MBP2.csv"
"Ectocarpus siliculosus","sessile",0.000228,"primary producer",371,"MBP2.csv"
"Corallina officinalis","sessile",0.000228,"primary producer",0.1,"MBP2.csv"
