"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"PC2P4.csv"
"Gammaridae","swimming",0.0013,"invertebrate",0.0039,"PC2P4.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"PC2P4.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"PC2P4.csv"
"Palaemon elegans","swimming",0.13,"invertebrate",0.63,"PC2P4.csv"
"Acanthonyx lunulatus","walking",0.18,"invertebrate",NA,"PC2P4.csv"
"Insecta","swimming",3e-04,"invertebrate",3e-04,"PC2P4.csv"
"Ulva sp.","sessile",0.000228,"primary producer",21,"PC2P4.csv"
"Gibbula pennanti","walking",0.23,"invertebrate",0.91,"PC2P4.csv"
"Omalogyra atomus","walking",0.01,"invertebrate",0.01,"PC2P4.csv"
"Pachygrapsus transversus","walking",2.37,"invertebrate",4.74,"PC2P4.csv"
"Codium adhaerens","sessile",0.000228,"primary producer",0.01,"PC2P4.csv"
"Valonia sp.","sessile",0.000228,"primary producer",5700,"PC2P4.csv"
"Cladostephus spongiosus","sessile",0.000228,"primary producer",2.7,"PC2P4.csv"
"Cystoseira abies-marina","sessile",0.000228,"primary producer",91700,"PC2P4.csv"
"Padina pavonica","sessile",0.000228,"primary producer",2.45,"PC2P4.csv"
"Polychaeta","walking",4e-04,"invertebrate",0.005,"PC2P4.csv"
