"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",7e-04,"invertebrate",0.01,"RV2P4.csv"
"Nassariidae","walking",0.098,"invertebrate",0.39,"RV2P4.csv"
"Polychaeta","walking",0.0046,"invertebrate",0.09,"RV2P4.csv"
"Lipophrys pholis","swimming",0.2,"ectotherm vertebrate",1,"RV2P4.csv"
"Palaemon longirostris","swimming",0.092,"invertebrate",0.37,"RV2P4.csv"
"Carcinus maenas","walking",0.103,"invertebrate",0.103,"RV2P4.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"RV2P4.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"RV2P4.csv"
"Gammaridae","swimming",5e-04,"invertebrate",0.004,"RV2P4.csv"
"Ophiuroidea","walking",0.0017,"invertebrate",0.005,"RV2P4.csv"
"Caprella sp.","walking",0.003,"invertebrate",NA,"RV2P4.csv"
"Musculus costulatus","sessile",0.015,"invertebrate",0.59,"RV2P4.csv"
"Mytilus galloprovincialis","other",1.19,"invertebrate",23.7,"RV2P4.csv"
"Cardiidae","sessile",0.0079,"invertebrate",0.008,"RV2P4.csv"
"Angulus tenuis","sessile",0.009,"invertebrate",0.009,"RV2P4.csv"
"Solecurtus strigilatus","sessile",0.0069,"invertebrate",0.007,"RV2P4.csv"
"Turtonia minuta","sessile",0.0037,"invertebrate",0.004,"RV2P4.csv"
"Aulactinia verrucosa","sessile",0.01,"invertebrate",0.1,"RV2P4.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"RV2P4.csv"
"Oligochaeta","walking",0.0017,"invertebrate",0.028,"RV2P4.csv"
"Tanaidacea","walking",0.0019,"invertebrate",0.04,"RV2P4.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",166,"RV2P4.csv"
"Pantopoda","walking",6e-04,"invertebrate",6e-04,"RV2P4.csv"
"Omalogyra atomus","walking",4e-04,"invertebrate",0.009,"RV2P4.csv"
"Stenothoidae","swimming",5e-04,"invertebrate",0.009,"RV2P4.csv"
"Barleeia sp.","walking",0.0018,"invertebrate",0.04,"RV2P4.csv"
"Acanthochitona crinita","walking",0.039,"invertebrate",0.27,"RV2P4.csv"
"Gibbula umbilicalis","walking",0.18,"invertebrate",1.09,"RV2P4.csv"
"Paracentrotus lividus","walking",0.69,"invertebrate",0.69,"RV2P4.csv"
"Rissoidae","walking",0.0017,"invertebrate",0.002,"RV2P4.csv"
"Codium sp.","sessile",0.000228,"primary producer",0.1,"RV2P4.csv"
"Leathesia marina","sessile",0.000228,"primary producer",5.96,"RV2P4.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",3.28,"RV2P4.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",7.27,"RV2P4.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",845,"RV2P4.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",455.4,"RV2P4.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"RV2P4.csv"
"Nemertea","walking",0.0014,"invertebrate",0.001,"RV2P4.csv"
"Turridae","walking",5e-04,"invertebrate",5e-04,"RV2P4.csv"
"Ocenebra erinaceus","walking",0.097,"invertebrate",0.09,"RV2P4.csv"
"Nucella sp.","walking",0.027,"invertebrate",0.03,"RV2P4.csv"
