"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"PC2P5.csv"
"Gammaridae","swimming",8e-04,"invertebrate",0.011,"PC2P5.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"PC2P5.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"PC2P5.csv"
"Gibbula umbilicalis","walking",0.005,"invertebrate",0.005,"PC2P5.csv"
"Pachygrapsus transversus","walking",0.78,"invertebrate",3.92,"PC2P5.csv"
"Coryphoblennius galerita","swimming",0.94,"ectotherm vertebrate",1.87,"PC2P5.csv"
"Ulva sp.","sessile",0.000228,"primary producer",88000,"PC2P5.csv"
"Gibbula pennanti","walking",0.01,"invertebrate",0.1,"PC2P5.csv"
"Palaemon elegans","swimming",0.01,"invertebrate",0.1,"PC2P5.csv"
"Insecta","swimming",3e-04,"invertebrate",0.001,"PC2P5.csv"
"Polychaeta","walking",2e-04,"invertebrate",3e-04,"PC2P5.csv"
