"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",0.01,"invertebrate",0.001,"L2P2.csv"
"Nassariidae","walking",0.01,"invertebrate",0.03,"L2P2.csv"
"Actinia fragacea","sessile",0.01,"invertebrate",0.1,"L2P2.csv"
"Turbellaria","swimming",0.001,"invertebrate",0.001,"L2P2.csv"
"Polychaeta","walking",0.012,"invertebrate",0.34,"L2P2.csv"
"Palaemon longirostris","swimming",1.19,"invertebrate",4.75,"L2P2.csv"
"Gobius paganellus","swimming",0.48,"ectotherm vertebrate",6.2,"L2P2.csv"
"Lepadogaster lepadogaster","swimming",0.05,"ectotherm vertebrate",0.15,"L2P2.csv"
"Carcinus maenas","walking",0.166,"invertebrate",0.17,"L2P2.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"L2P2.csv"
"Tricolia pullus","walking",0.007,"invertebrate",0.13,"L2P2.csv"
"Gammaridae","swimming",4e-04,"invertebrate",4e-04,"L2P2.csv"
"Musculus costulatus","sessile",0.006,"invertebrate",0.13,"L2P2.csv"
"Mytilus galloprovincialis","other",0.02,"invertebrate",0.47,"L2P2.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"L2P2.csv"
"Barnea candida","sessile",0.01,"invertebrate",0.1,"L2P2.csv"
"Botryllus schlosseri","sessile",0.01,"invertebrate",0.1,"L2P2.csv"
"Angulus tenuis","sessile",0.0074,"invertebrate",0.015,"L2P2.csv"
"Turtonia minuta","sessile",0.0011,"invertebrate",0.003,"L2P2.csv"
"Turritellidae","walking",0.002,"invertebrate",0.002,"L2P2.csv"
"Aulactinia verrucosa","sessile",0.36,"invertebrate",0.72,"L2P2.csv"
"Actinothoe sphyrodeta","sessile",0.01,"invertebrate",0.1,"L2P2.csv"
"Ophiuroidea","walking",0.07,"invertebrate",0.09,"L2P2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"L2P2.csv"
"Oligochaeta","walking",7e-04,"invertebrate",0.001,"L2P2.csv"
"Modiolula phaseolina","sessile",0.34,"invertebrate",0.34,"L2P2.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",2185,"L2P2.csv"
"Pantopoda","walking",0.0011,"invertebrate",0.001,"L2P2.csv"
"Paracentrotus lividus","walking",11.03,"invertebrate",209.5,"L2P2.csv"
"Acanthochitona crinita","walking",0.02,"invertebrate",0.35,"L2P2.csv"
"Lepidochitona cinerea","walking",0.13,"invertebrate",1.88,"L2P2.csv"
"Leptochiton algesirensis","walking",0.01,"invertebrate",0.1,"L2P2.csv"
"Patella ulyssiponensis","walking",1.18,"invertebrate",5.92,"L2P2.csv"
"Gibbula umbilicalis","walking",0.22,"invertebrate",4.82,"L2P2.csv"
"Rissoidae","walking",0.003,"invertebrate",0.04,"L2P2.csv"
"Omalogyra atomus","walking",6e-04,"invertebrate",0.02,"L2P2.csv"
"Barleeia sp.","walking",0.003,"invertebrate",0.13,"L2P2.csv"
"Aplysia punctata","walking",1.67,"invertebrate",17.65,"L2P2.csv"
"Sphaeromatidae","walking",0.017,"invertebrate",0.26,"L2P2.csv"
"Munnidae","walking",3e-04,"invertebrate",0.001,"L2P2.csv"
"Ampithoidae","swimming",3e-04,"invertebrate",0.0013,"L2P2.csv"
"Stenothoidae","swimming",0.01,"invertebrate",0.001,"L2P2.csv"
"Xantho pilipes","walking",0.01,"invertebrate",0.1,"L2P2.csv"
"Pirimela denticulata","walking",0.01,"invertebrate",0.21,"L2P2.csv"
"Codium sp.","sessile",0.000228,"primary producer",99,"L2P2.csv"
"Marthasterias glacialis","walking",0.71,"invertebrate",0.71,"L2P2.csv"
"Bifurcaria bifurcata","sessile",0.000228,"primary producer",342.4,"L2P2.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",0.1,"L2P2.csv"
"Saccorhiza polyschides","sessile",0.000228,"primary producer",12.52,"L2P2.csv"
"Dictyota dichotoma","sessile",0.000228,"primary producer",109,"L2P2.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",8930,"L2P2.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",3395,"L2P2.csv"
"Ceramium ciliatum","sessile",0.000228,"primary producer",57.1,"L2P2.csv"
"Chondrus crispus","sessile",0.000228,"primary producer",82.4,"L2P2.csv"
"Gelidium corneum","sessile",0.000228,"primary producer",49.35,"L2P2.csv"
"Gracilariopsis longissima","sessile",0.000228,"primary producer",4,"L2P2.csv"
"Turridae","walking",0.0048,"invertebrate",0.078,"L2P2.csv"
"Anemonia sulcata","sessile",20.67,"invertebrate",82.69,"L2P2.csv"
