"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"SF2I1.csv"
"Mytilus sp.","sessile",4.5298,"invertebrate",54.35,"SF2I1.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"SF2I1.csv"
"Harpacticoida","swimming",0.001,"invertebrate",0.001,"SF2I1.csv"
"Fabricia stellaris","sessile",2e-04,"invertebrate",2e-04,"SF2I1.csv"
"Oligochaeta","walking",2e-04,"invertebrate",2e-04,"SF2I1.csv"
"Gammarus oceanicus","swimming",0.1417,"invertebrate",1.42,"SF2I1.csv"
"Fucus","sessile",0.000228,"primary producer",49.02,"SF2I1.csv"
"Littorina littorea","walking",2.2356,"invertebrate",2.24,"SF2I1.csv"
"Littorina obtusata","walking",0.1183,"invertebrate",1.3,"SF2I1.csv"
"Littorina saxatilis","walking",0.0367,"invertebrate",0.37,"SF2I1.csv"
"Testudinalia testudinalis","walking",0.7482,"invertebrate",7.48,"SF2I1.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"SF2I1.csv"
"Alaria esculenta","sessile",0.000228,"primary producer",41.91,"SF2I1.csv"
"Clathromorphum circumscriptum","sessile",0.000228,"primary producer",0.1,"SF2I1.csv"
"Diatomophyceae","sessile",2e-04,"primary producer",16.24,"SF2I1.csv"
