"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",5e-04,"invertebrate",0.005,"CR2P3.csv"
"Palaemon longirostris","swimming",0.109,"invertebrate",2.17,"CR2P3.csv"
"Gobius paganellus","swimming",0.243,"ectotherm vertebrate",0.73,"CR2P3.csv"
"Polychaeta","walking",0.0099,"invertebrate",0.19,"CR2P3.csv"
"Carcinus maenas","walking",0.131,"invertebrate",0.13,"CR2P3.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"CR2P3.csv"
"Musculus costulatus","sessile",0.0063,"invertebrate",0.13,"CR2P3.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"CR2P3.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"CR2P3.csv"
"Aulactinia verrucosa","sessile",0.277,"invertebrate",1.39,"CR2P3.csv"
"Ophiuroidea","walking",0.468,"invertebrate",1.4,"CR2P3.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"CR2P3.csv"
"Lipophrys pholis","swimming",0.338,"ectotherm vertebrate",5.75,"CR2P3.csv"
"Mytilus galloprovincialis","sessile",0.152,"invertebrate",1.52,"CR2P3.csv"
"Tanaidacea","walking",0.0025,"invertebrate",0.018,"CR2P3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",203,"CR2P3.csv"
"Pantopoda","walking",0.0024,"invertebrate",0.0024,"CR2P3.csv"
"Paracentrotus lividus","walking",1.783,"invertebrate",32.09,"CR2P3.csv"
"Coryphoblennius galerita","swimming",0.908,"ectotherm vertebrate",4.54,"CR2P3.csv"
"Acanthochitona crinita","walking",0.0113,"invertebrate",0.1,"CR2P3.csv"
"Lepidochitona cinerea","walking",0.154,"invertebrate",0.77,"CR2P3.csv"
"Patella depressa","walking",2.11,"invertebrate",6.33,"CR2P3.csv"
"Patella ulyssiponensis","walking",7.86,"invertebrate",47.13,"CR2P3.csv"
"Gibbula umbilicalis","walking",0.443,"invertebrate",11.08,"CR2P3.csv"
"Omalogyra atomus","walking",4e-04,"invertebrate",0.008,"CR2P3.csv"
"Barleeia sp.","walking",0.001,"invertebrate",0.002,"CR2P3.csv"
"Aplysia punctata","walking",0.0074,"invertebrate",0.0074,"CR2P3.csv"
"Sphaeromatidae","walking",0.0035,"invertebrate",0.007,"CR2P3.csv"
"Ampithoidae","swimming",0.0011,"invertebrate",0.0044,"CR2P3.csv"
"Stenothoidae","swimming",5e-04,"invertebrate",0.011,"CR2P3.csv"
"Lophozozymus incisus","walking",0.5,"invertebrate",5,"CR2P3.csv"
"Leathesia marina","sessile",0.000228,"primary producer",NA,"CR2P3.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.1,"CR2P3.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",0.1,"CR2P3.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",NA,"CR2P3.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",506.67,"CR2P3.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",540,"CR2P3.csv"
"Lithophyllum byssoides","sessile",0.000228,"primary producer",0.01,"CR2P3.csv"
"Phorcus lineatus","walking",0.01,"invertebrate",0.1,"CR2P3.csv"
