"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"WP3.csv"
"Gammaridae","swimming",0.0013,"invertebrate",0.051,"WP3.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"WP3.csv"
"Polychaeta","walking",0.0045,"invertebrate",0.015,"WP3.csv"
"Harparticoida","swimming",0.001,"invertebrate",0.001,"WP3.csv"
"Ostracoda","swimming",0.001,"invertebrate",0.001,"WP3.csv"
"Halacaridae","walking",1e-04,"invertebrate",2e-04,"WP3.csv"
"Amphipholis squamata","walking",0.0049,"invertebrate",0.1,"WP3.csv"
"Bivalvia","sessile",0.0074,"invertebrate",0.015,"WP3.csv"
"Solecurtus strigilatus","sessile",0.0213,"invertebrate",0.02,"WP3.csv"
"Mytilus galloprovincialis","other",0.0489,"invertebrate",0.147,"WP3.csv"
"Stenothoidae","swimming",0.0021,"invertebrate",0.015,"WP3.csv"
"Nemertea","walking",0.01,"invertebrate",2e-04,"WP3.csv"
"Nereis sp.","walking",0.0075,"invertebrate",0.112,"WP3.csv"
"Carcinus maenas","walking",0.0135,"invertebrate",0.1,"WP3.csv"
"Gobius paganellus","swimming",0.01,"ectotherm vertebrate",0.1,"WP3.csv"
"Tanaidacea","walking",0.0013,"invertebrate",0.0079,"WP3.csv"
"Actinia equina","sessile",0.01,"invertebrate",0.1,"WP3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",0.1,"WP3.csv"
"Nematoda","walking",2e-04,"invertebrate",0.01,"WP3.csv"
"Pagurus bernhardus","walking",0.01,"invertebrate",0.1,"WP3.csv"
"Insecta","swimming",1e-04,"invertebrate",5e-04,"WP3.csv"
"Omalogyra atomus","walking",2e-04,"invertebrate",6e-04,"WP3.csv"
"Barleeia sp.","walking",0.003,"invertebrate",0.1,"WP3.csv"
"Nucella lapillus","walking",0.01,"invertebrate",0.1,"WP3.csv"
"Symphodus melops","swimming",0.01,"ectotherm vertebrate",0.1,"WP3.csv"
"Gibbula umbilicalis","walking",0.3297,"invertebrate",3.29,"WP3.csv"
"Phorcus lineatus","walking",0.01,"invertebrate",0.1,"WP3.csv"
"Ulva linza","sessile",0.000228,"primary producer",0.1,"WP3.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.1,"WP3.csv"
"Halurus equisetifolius","sessile",0.000228,"primary producer",0.1,"WP3.csv"
"Polysiphonia sp.","sessile",0.000228,"primary producer",0.1,"WP3.csv"
"Jania rubens","sessile",0.000228,"primary producer",880,"WP3.csv"
"Furcellaria lumbricalis","sessile",0.000228,"primary producer",933.333,"WP3.csv"
"Cancer pagurus","walking",0.01,"invertebrate",0.1,"WP3.csv"
