FW_name,location,date,lat,lon,elevation,width,depth,discharge,lateral_inflow,travel_time,temperature,pH,conductivity,DOC,ammonia,nitrate,totalN,phosphate,totalP,calcium,potassium,magnesium,sodium,silicate,chlorine,sulphate,GPP,ER,grazing,decomp,ecosystem.type,sampling.start.year,sampling.end.year
IS1,Hengill,aug_2008,64.05396,-21.30484,374,108,14,17,2,5.8,22.7,7.8,294,0.767,0.009,0.003,0.062,0.003,0.015,30.8,1.4,7.6,29,18.6,6.5,4.9,20.35,28.2,0.301524355,75.50663,Streams,2008,2008
IS3,Hengill,aug_2008,64.05635,-21.30434,371,68,12,7,1,6.5,23.7,7.9,275,0.226,0.013,0.004,0.019,0.009,0.028,29.5,1.8,6.5,29.9,19.6,6.4,6.4,4.95,17.1,NA,76.27205,Streams,2008,2008
IS4,Hengill,aug_2008,64.05656,-21.30342,372,25,3,1,1,4.2,12.7,7.7,153,0.465,0.008,0.006,0.041,0.001,0.008,20.3,0.3,5.1,7.4,9.8,7.6,2.9,2.25,2.5,NA,69.38329,Streams,2008,2008
IS5,Hengill,aug_2008,64.05562,-21.30656,369,105,11,29,6,3.2,21.3,8,282,0.427,0.006,0.006,0.032,0.002,0.019,31.1,2.2,6.7,36.8,19.8,6.3,4.8,27.6,38,0.141183453,69.38329,Streams,2008,2008
IS6,Hengill,aug_2008,64.05669,-21.30681,372,95,7,7,8,4.5,21,8.1,283,0.317,0.011,0.002,0.016,0.007,0.028,29.8,2.2,6.4,37,19.7,6.5,4.6,16.8,18.3,0.446361891,77.29281,Streams,2008,2008
IS7,Hengill,aug_2008,64.05738,-21.30846,371,161,3,4,10,4.3,8.2,7.6,110,0.208,0.01,0.001,0.012,0.012,0.025,14.1,0.5,4.1,10.6,7,7.7,1.5,4.42,7,0.234025389,61.72911,Streams,2008,2008
IS8,Hengill,aug_2008,64.05745,-21.30865,368,175,9,37,8,2.7,24.6,8.1,300,0.33,0.009,0.006,0.014,0.012,0.031,28.2,2.6,5.5,37.5,20.2,6.3,3.5,13.62,66.8,0.530505776,72.44496,Streams,2008,2008
IS9,Hengill,aug_2008,64.05782,-21.30895,376,63,8,3,16,9,18.1,8.1,262,0.263,0.008,0.004,0.036,0.018,0.036,26.9,1.5,6.6,34.6,17.9,6.6,2.7,15.71,25.5,0.006664496,76.52923,Streams,2008,2008
IS10,Hengill,aug_2008,64.05831,-21.31198,392,113,9,4,17,7,5.1,7.7,129,0.314,0.006,0.002,0.054,0.01,0.018,20.1,0.3,4.7,11,6,6.6,3.8,10.43,23.9,NA,66.06658,Streams,2008,2008
IS11,Hengill,aug_2008,64.05881,-21.31338,416,138,3,5,22,4.7,12.8,8,624,0.581,0.009,0.001,0.085,0.001,0.015,32.4,2.5,29.5,123.8,25.4,5.7,0.2,9.24,9.7,0.084833227,68.87505,Streams,2008,2008
IS12,Hengill,aug_2008,64.04801,-21.28706,353,359,14,50,0,8.5,15.5,7.9,223,0.618,0.012,0.005,0.098,0.001,0.011,25.1,1.4,7.7,19.6,17.6,7,2.6,4.2,11.4,NA,NA,Streams,2008,2008
IS13,Hengill,aug_2008,64.053609,-21.304031,NA,NA,NA,NA,NA,NA,6.1,7.6,201,0.294,0.018,0.001,0.114,0.001,0.006,28.4,0.5,8.9,15.1,9.9,7.2,5.9,NA,NA,-0.015273468,67.85245,Streams,2008,2008
IS14,Hengill,aug_2008,64.06031,-21.31896,422,147,6,14,2,3.2,9.7,8.1,254,0.403,0.01,0.003,0.123,0.001,0.01,35.9,0.5,8.5,17.5,11.4,6.4,5.8,2.19,4.1,0.065915823,66.06658,Streams,2008,2008
IS16,Hengill,aug_2008,64.056653,-21.304931,NA,NA,NA,NA,NA,NA,14.5,7.9,249,0.318,0.015,0.003,0.068,0.003,0.02,30.5,1.1,8.8,22,15.7,6.7,5.8,NA,NA,NA,NA,Streams,2008,2008
