"FW_name","species","species_type","metabolic_type","functional_group","taxonomic_level","movement_type","bodymass","abundance","biomass","losses","efficiencies"
"IS14","Achnanthes","plant","plant","plant","genus","sessile",7.68e-10,39696494.58,0.03048690783744,NA,0.485652016132365
"IS14","Amphora","plant","plant","plant","genus","sessile",3.166e-10,633139.71745,0.00020045203454467,NA,0.485652016132365
"IS14","Bacteria","detritus","heterotrophic bacteria","nonfeeding",NA,"sessile",NA,NA,NA,NA,0.129384966904604
"IS14","Caloneis","plant","plant","plant","genus","sessile",1.1e-09,184165.8603,0.00020258244633,NA,0.485652016132365
"IS14","Clinocera stagnalis","animal","ectotherm invertebrate","carnivore","species","walking",8.560612e-05,4,0.00034242448,7.52789811379695e-08,0.883869236708148
"IS14","Cocconeis","plant","plant","plant","genus","sessile",4.994e-09,541056.78725,0.0027020375955265,NA,0.485652016132365
"IS14","CPOM","detritus","detritus","detritus",NA,"sessile",NA,NA,NA,NA,0.129384966904604
"IS14","Cricotopus sp. B","animal","ectotherm invertebrate","herbivore","genus","walking",0.00024637868,548,0.13501551664,2.18451031699224e-05,0.883869236708148
"IS14","Cymbella","plant","plant","plant","genus","sessile",8.92e-10,698385.1745,0.000622959575654,NA,0.485652016132365
"IS14","Diamesa bertrami","animal","ectotherm invertebrate","herbivore","species","walking",0.000176306264,156,0.027503777184,4.90354335132626e-06,0.883869236708148
"IS14","Diamesa zernyi","animal","ectotherm invertebrate","herbivore","species","walking",0.000116193132,76,0.008830678032,1.77675293376477e-06,0.883869236708148
"IS14","Diatoma","plant","plant","plant","genus","sessile",4.68e-09,4144288.438,0.01939526988984,NA,0.485652016132365
"IS14","Epithemia","plant","plant","plant","genus","sessile",1.62e-08,4750460.965,0.076957467633,NA,0.485652016132365
"IS14","Eukiefferiella minor","animal","ectotherm invertebrate","herbivore","species","walking",0.000179964616,2880,0.51829809408,9.18566641007452e-05,0.883869236708148
"IS14","Filamentous algae","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.485652016132365
"IS14","FPOM","detritus","detritus","detritus",NA,"sessile",NA,NA,NA,NA,0.129384966904604
"IS14","Fragilaria","plant","plant","plant","genus","sessile",1.0709e-09,23346000.275075,0.0250012316945778,NA,0.485652016132365
"IS14","Frustulia","plant","plant","plant","genus","sessile",1.04e-08,732920.9873,0.00762237826792,NA,0.485652016132365
"IS14","Fungi","detritus","heterotrophic fungi","nonfeeding",NA,"sessile",NA,NA,NA,NA,0.129384966904604
"IS14","Gomphonema","plant","plant","plant","genus","sessile",3.4276e-10,4405140.5485,0.00150990597440386,NA,0.485652016132365
"IS14","Green algae","plant","plant","plant",NA,"sessile",NA,NA,NA,NA,0.485652016132365
"IS14","Limnophora riparia","animal","ectotherm invertebrate","carnivore","species","walking",0.00027752852,60,0.0166517112,2.60276515490552e-06,0.883869236708148
"IS14","Melosira","plant","plant","plant","genus","sessile",2.044e-09,548755.127,0.001121655479588,NA,0.485652016132365
"IS14","Meridion","plant","plant","plant","genus","sessile",2.48e-09,99217094.51,0.2460583943848,NA,0.485652016132365
"IS14","Micropsectra atrofasciata","animal","ectotherm invertebrate","herbivore","species","walking",7.902952e-05,136,0.01074801472,2.41826932083513e-06,0.883869236708148
"IS14","Navicula","plant","plant","plant","genus","sessile",7.3888e-10,4297694.42524,0.00317548045692133,NA,0.485652016132365
"IS14","Nitzschia","plant","plant","plant","genus","sessile",1.98e-10,5980957.10205,0.0011842295062059,NA,0.485652016132365
"IS14","Oligochaeta indet.","animal","ectotherm invertebrate","herbivore","class","walking",0.000115039072,1688,0.194185953536,3.91839287685044e-05,0.883869236708148
"IS14","Orthocladius sp.","animal","ectotherm invertebrate","herbivore","genus","walking",8.6839828e-05,48,0.004168311744,9.12571746313998e-07,0.883869236708148
"IS14","Pinnularia","plant","plant","plant","genus","sessile",2.42e-10,1469584.429,0.000355639431818,NA,0.485652016132365
"IS14","Potamophylax cingulatus","animal","ectotherm invertebrate","omnivore","species","walking",0.002610110872,16,0.041761773952,3.40787114023516e-06,0.883869236708148
"IS14","Rheocricotopus effesus","animal","ectotherm invertebrate","herbivore","species","walking",0.00063413748,248,0.15726609504,1.93435969407548e-05,0.883869236708148
"IS14","Rhoicosphenia","plant","plant","plant","genus","sessile",3.032e-10,2195020.508,0.0006655302180256,NA,0.485652016132365
"IS14","Rhopalodia","plant","plant","plant","genus","sessile",6.72e-09,1270021.889,0.00853454709408,NA,0.485652016132365
"IS14","Simulium aureum","animal","ectotherm invertebrate","omnivore","species","walking",1.9489396e-05,20,0.00038978792,1.31620085627976e-07,0.883869236708148
"IS14","Simulium vittatum","animal","ectotherm invertebrate","omnivore","species","walking",3.38554e-06,4,1.354216e-05,7.59680815044195e-09,0.883869236708148
"IS14","Sperchon glandulosus","animal","ectotherm invertebrate","herbivore","species","walking",0.000582659996,196,0.114201359216,1.43958127144956e-05,0.883869236708148
"IS14","Synedra","plant","plant","plant","genus","sessile",3.584e-08,13269820.6,0.475590370304,NA,0.485652016132365
"IS14","Terrestrial","detritus","ectotherm invertebrate","nonfeeding",NA,"flying",NA,NA,NA,NA,0.129384966904604
"IS14","Thienemanniella sp.","animal","ectotherm invertebrate","herbivore","genus","walking",0.00011959458,1104,0.13203241632,2.63438691445992e-05,0.883869236708148
