FW_name,chl_a
AP1,3.388634443283081
AP2,3.388634443283081
AP3,3.388634443283081
AP4,3.388634443283081
BP1,1.8965937174856664
BP2,1.8966937061393392
BP3,1.897608268524194
CGP1,3.388634443283081
CGP2,3.388634443283081
CGP3,3.388634443283081
CR1P1,2.4439984275221067
CR1P2,2.4440710342963703
CR1P3,2.443528192921689
CR1P4,2.44180159679445
CR2P1,2.4384004749468904
CR2P2,2.4388422181463647
CR2P3,2.4389283304806693
CR2P4,2.4389283304806693
F1P1,0.6966936442965552
F1P2,0.6938912608190222
F1P3,0.6848902833336995
F1P4,0.6826520967767353
F2P1,0.6713167813763407
F2P2,0.6719229520502545
F2P3,0.6711996597903117
F2P4,0.6701685617898258
FP1,1.8561611748178592
FXAP1,1.4275790443912442
FXAP2,1.4323264546442351
FXAP3,1.4316001894885373
FXAP4,1.4322833422833063
FXBP1,1.447790361465292
FXBP2,1.4468820770229918
FXBP3,1.4497175525341717
FXBP4,1.4489136819533486
GJAP1,1.367292240435975
GJAP2,1.3680119204428167
GJAP3,1.3684057896433313
GJAP4,1.3670526981044524
GJBP1,1.3614477514453531
GJBP2,1.3605152327227807
GJBP3,1.3609699816275869
GJBP4,1.3605152327227807
L1P1,1.878028745081887
L1P2,1.8790923906233157
L1P3,1.8790923906233157
L1P4,1.8778268876722304
L2P1,1.8724463729115275
L2P2,1.8724463729115275
L2P3,1.8724463729115275
L2P4,1.87037729391288
L3P1,2.268562229510346
L3P2,2.268562229510346
L3P3,2.267337721776744
L3P4,2.267337721776744
L4P1,2.2568694380074064
L4P2,2.257413166063326
L4P3,2.255537309988732
L4P4,2.255537309988732
MBP1,3.34780383423755
MBP2,3.344887019762026
MBP3,3.363519746916635
MBP4,3.3570128662485472
PC1P1,0.22070017877814851
PC1P2,0.22070017877814851
PC1P3,0.22070017877814851
PC1P4,0.22070017877814851
PC2P1,0.2205367406361849
PC2P2,0.2205367406361849
PC2P3,0.22043630754810636
PC2P4,0.22043630754810636
PC2P5,0.22043630754810636
PGSBP1,3.388634443283081
PGSBP2,3.388634443283081
PGUBP1,1.500201933121567
PGUBP2,1.500201933121567
PGUBP3,1.500201933121567
PGUBP4,1.5000173250834146
PP1I1,7.447057133033629
PP1I2,7.4461110826398516
PP1I3,7.456450574350036
PP1I4,7.454468015726509
PP2I1,7.484680499021823
PP2I2,7.485662513054335
PP2I3,7.485662513054335
PP2I4,7.487588784027101
PP2M1,7.490726147460939
PP2M2,7.491706590270997
PP2M3,7.492883068084717
PP2M4,7.493863510894776
RMP1,0.18359592296466248
RMP2,0.18361911046724777
RMP3,0.18368163992864173
RMP4,0.18368163992864173
RMP5,0.18371908174146137
RV1P1,2.578171647271734
RV1P2,2.5783527702547624
RV1P3,2.5795046589306714
RV1P4,2.5793252676202543
RV2P1,2.5867386883810943
RV2P2,2.58879093216076
RV2P3,2.589993766113952
RV2P4,2.589993766113952
SF1I1,8.028544171651204
SF1I2,8.048186894276695
SF1I3,8.028544171651204
SF1I4,8.028544171651204
SF1M1,7.973684575184283
SF1M2,7.98647995178516
SF1M3,7.973684575184283
SF1M4,7.9938259376324625
SF2I1,7.984569715017295
SF2I2,8.006865723241717
SF2I3,8.006865723241717
SF2I4,8.009559734262151
SF2M1,7.9916652739048
SF2M2,7.981589386262089
SF2M3,7.994638438408191
SF2M4,7.956342900347766
SP1,3.388634443283081
WP1,2.8708195708539455
WP2,2.871399579767408
WP3,2.8711854829912524
WP4,2.873120471918694
