FW_name,temperature_C,lat,lon,ecosystem.type,sampling.start.year,sampling.end.year,study_ID,stability,flux,second.consumption,prim.consumption,biomass,animal.biomass,plant.biomass,S,L,LD,C,generality,vulnerability,MeanTL,MaxTL,sim.sec.cons,sim.prim.cons,sim.total,prim.cons.richness,sec.cons.richness,SC
CR1P1,17,38.709952,-9.485974,Marine,2013,2015,Intertidal rockpools,0.406685255,12917.44223,4198.850928,8718.591299,1062.420627,870.9711939,191.4494327,63,505,8.015873016,0.12723608,0.015670959,0.022214067,2.279671504,4.2,0.687053853,0.651105799,0.695927393,24,50,1
CR1P2,21,38.710015,-9.485945,Marine,2013,2015,Intertidal rockpools,0.020834231,12644.67462,1718.526319,10926.1483,912.08825,744.8720708,167.2161792,60,473,7.883333333,0.131388889,0.015902593,0.018948742,2.271254364,4,0.678806609,0.677198077,0.689105009,23,47,1
CR1P3,22,38.709936,-9.486042,Marine,2013,2015,Intertidal rockpools,0.004906009,5198.533588,1015.166069,4183.367519,256.2765484,195.2583226,61.01822581,42,275,6.547619048,0.155895692,0.025927844,0.029690989,2.079505359,4.055555556,0.698542511,0.402026945,0.606475404,22,21,1
CR1P4,21,38.709946,-9.486071,Marine,2013,2015,Intertidal rockpools,0.079200236,4266.660002,1170.067534,3096.592469,214.1555862,155.2628,58.89278621,40,243,6.075,0.151875,0.024855902,0.042206711,1.962018542,3.490214177,0.544425473,0.588657299,0.568744851,14,28,1
CR2P1,21,38.710621,-9.486132,Marine,2013,2015,Intertidal rockpools,0.05797513,2340.23321,345.7091644,1994.524045,107.2143529,80.41076471,26.80358824,48,360,7.5,0.15625,0.022530369,0.027135559,2.076370464,3.732323232,0.663419184,0.610525317,0.663049149,19,31,1
CR2P2,15,38.71063,-9.486068,Marine,2013,2015,Intertidal rockpools,0.079724042,5486.180192,1779.325801,3706.854391,542.4113095,443.7910714,98.6202381,55,364,6.618181818,0.120330579,0.018448013,0.02309953,2.058459549,3.596155773,0.732494476,0.603849626,0.681103373,33,29,1
CR2P3,18,38.71067,-9.485978,Marine,2013,2015,Intertidal rockpools,0.013935675,2691.759398,112.4187999,2579.340598,167.466269,128.8202069,38.64606207,39,224,5.743589744,0.147271532,0.025944618,0.03628335,2.017153589,3.071428571,0.534550739,0.602146615,0.557599354,16,26,1
CR2P4,23,38.710653,-9.485925,Marine,2013,2015,Intertidal rockpools,0.035367699,4839.12661,632.6594399,4206.46717,241.984625,207.4153929,34.56923214,35,139,3.971428571,0.113469388,0.033585087,0.034526935,2.251738416,4.186717986,0.743130711,0.65961973,0.696294727,17,18,0.9997
F1P1,24,-25.969864,32.991403,Marine,2013,2015,Intertidal rockpools,0.067887874,6027.509456,600.7090923,5426.800364,488.7987677,289.658529,199.1402387,54,238,4.407407407,0.081618656,0.034139675,0.066161969,1.928341197,4,0.765063132,0.557306935,0.772302474,18,26,1
F1P2,24,-25.969947,32.991658,Marine,2013,2015,Intertidal rockpools,0.045112269,2591.86103,241.9833841,2349.877646,109.7685677,70.8922,38.87636774,48,253,5.270833333,0.109809028,0.029417625,0.089668152,1.96986543,4,0.667841121,0.546478059,0.688175889,22,24,1
F1P3,24,-25.970258,32.992506,Marine,2013,2015,Intertidal rockpools,0.080770006,8360.555141,928.2444441,7432.310696,1234.326359,761.6056259,472.7207333,47,213,4.531914894,0.096423721,0.03305069,0.084899807,1.831533066,3.833333333,0.728488253,0.612775234,0.746068563,20,17,1
F1P4,24,-25.970464,32.992661,Marine,2013,2015,Intertidal rockpools,0.000751382,3500.054685,1149.546406,2350.508279,121.6862938,79.4686,42.21769375,49,291,5.93877551,0.1211995,0.026686824,0.055200188,1.99450375,4.302720298,0.698979115,0.386577463,0.708935492,19,21,1
F2P1,24,-25.971056,32.993669,Marine,2013,2015,Intertidal rockpools,0.024403024,2182.145884,488.0448414,1694.101042,126.67653,73.34637,53.33016,58,356,6.137931034,0.105826397,0.027514551,0.049227894,1.919084828,4.668650794,0.783233419,0.526427304,0.761806759,12,24,1
F2P2,24,-25.971186,32.993579,Marine,2013,2015,Intertidal rockpools,1.685170349,3346.024648,712.910404,2633.114244,270.4220625,144.2251,126.1969625,45,174,3.866666667,0.085925926,0.043087771,0.067971326,1.936485032,4.884353741,0.786172687,0.560697555,0.804433671,12,19,1
F2P3,23,-25.971569,32.993542,Marine,2013,2015,Intertidal rockpools,0.040738094,1955.830246,331.0619855,1624.768261,83.48482059,55.13148529,28.35333529,53,259,4.886792453,0.092203631,0.028308339,0.04702677,2.092670127,4.783783784,0.796785609,0.59649599,0.792108964,21,25,1
F2P4,23,-25.971744,32.99355,Marine,2013,2015,Intertidal rockpools,0.385468008,2251.25688,219.8319246,2031.424956,73.3278,47.9451,25.3827,52,251,4.826923077,0.092825444,0.029811092,0.047640007,2.040127843,4.113888889,0.77581075,0.604345639,0.777543579,22,23,1
FP1,27,-23.529452,-45.157673,Marine,2013,2015,Intertidal rockpools,0.092740041,2165.247381,431.68401,1733.563371,27.284125,19.843,7.441125,22,57,2.590909091,0.117768595,0.048624725,0.119799215,2.113507961,3.666666667,0.6252405,0.589082792,0.668104031,8,12,1
FXAP1,30,-3.2116634,-39.26622,Marine,2013,2015,Intertidal rockpools,0.344077886,53808.62981,1084.391177,52724.23863,275.7940615,161.8791231,113.9149385,46,372,8.086956522,0.175803403,0.027325054,0.05924145,1.719160138,3.052631579,0.522065415,0.530906237,0.571028585,22,24,1
FXAP2,30,-3.216738,-39.266191,Marine,2013,2015,Intertidal rockpools,0.055776674,5634.568642,1062.990227,4571.578415,99.47989286,61.8986,37.58129286,45,338,7.511111111,0.16691358,0.026840208,0.05370436,1.854685412,3.225486233,0.617910943,0.534420212,0.651376697,23,23,1
FXAP3,31,-3.216667,-39.26613,Marine,2013,2015,Intertidal rockpools,0.14135561,4192.643806,663.6809002,3528.962906,78.86473043,50.3858,28.47893043,36,250,6.944444444,0.192901235,0.029424102,0.052864049,1.817933527,3.166545539,0.579653583,0.564667754,0.562886338,15,15,1
FXAP4,31,-3.216639,-39.266168,Marine,2013,2015,Intertidal rockpools,0.183116467,2900.798831,294.9406244,2605.858207,38.33431579,26.976,11.35831579,27,132,4.888888889,0.181069959,0.041405376,0.072106569,2.067810785,3.75,0.614531497,0.577928063,0.657046485,15,16,1
FXBP1,32,-3.217707,-39.268045,Marine,2013,2015,Intertidal rockpools,0.034234442,1680.187136,70.13815805,1610.048978,18.22276875,9.4053,8.81746875,31,179,5.774193548,0.186264308,0.045010733,0.086130643,1.648213724,3,0.52651622,0.562720828,0.575522577,13,12,1
FXBP2,31,-3.217727,-39.267981,Marine,2013,2015,Intertidal rockpools,0.054088645,4161.629453,260.5962038,3901.03325,96.01425,66.14315,29.8711,45,317,7.044444444,0.15654321,0.024765787,0.058703945,1.849140571,3.5,0.564755418,0.582192397,0.593929254,23,21,1
FXBP3,29,-3.217815,-39.268296,Marine,2013,2015,Intertidal rockpools,0.10524636,3237.306997,281.0299674,2956.27703,115.0916571,67.1368,47.95485714,48,367,7.645833333,0.159288194,0.02729713,0.057433551,1.813268568,3.416707877,0.632288045,0.579961367,0.641413156,21,23,1
FXBP4,29,-3.217817,-39.26822,Marine,2013,2015,Intertidal rockpools,0.07914173,6817.345338,929.5454058,5887.799932,364.9403032,230.8806,134.0597032,49,414,8.448979592,0.172428155,0.023189565,0.052379038,1.835191074,3.245705168,0.593767836,0.541453731,0.61020032,28,24,1
