FW_name,ndvi
AEW01,0.6196339874317934
AEW02,0.6984937161086698
AEW04,0.6215283980248192
AEW05,0.6851038170214935
AEW07,0.6317602579864869
AEW08,0.6696695752571847
AEW09,0.696979600037884
AEW17,0.6215283980248192
AEW18,0.66399727874716
AEW25,0.6976179608286236
AEW27,0.6658301418826412
AEW30,0.7198323164565927
AEW49,0.6844128649073342
Afon Berwyn,0.6479910346668809
Afon Bidno,0.6845623901102749
Afon Ceirw,0.589769410902095
Afon Dulais,0.653055093394187
Afon Gain,0.5133587468527621
Afon Gwy 2005,0.5474557567408079
Afon Gwy 2012,0.4611536413112032
Afon Hafren 2005,0.6794481189278719
Afon Hafren 2012,0.676027176674773
Afon Marteg,0.64166659433618
Alford lake,0.5759657096347806
Allt a_Mharcaidh,0.563181584270358
Allt na Coire nan Con,0.5958274437147218
Balsam lake,0.5586450643790076
Beagh_s Burn,0.6217566992317074
Beaver lake,0.5767325968197023
Big hope lake,0.5937209911065474
Brandy lake,0.6358194126670854
Bridge brook lake,0.6099184924793429
Broadstone Stream,0.6569838023467595
Buck pond,0.6342792547691084
Burntbridge lake,0.5987405847798181
Cascade lake,0.5748679994353244
Chub lake,0.5858485672338537
Chub pond,0.6424780629700835
Connera lake,0.6389077305066141
Constable lake,0.5940117385130018
D6,0.5881967455330019
Dargall Lane,0.4735741989095362
Deep lake,0.5790425398219856
Duddon Pike Beck,0.5842851662664066
Emerald lake,0.5817970914638764
Falls lake,0.5926609937084703
Fawn lake,0.5996260611743873
Federation lake,0.5936303159532815
foodweb1,0.7467357628819834
foodweb10,0.7672120158802916
foodweb11,0.8085034358504708
foodweb12,0.7838873628112207
foodweb13,0.6791004546820654
foodweb14,0.72933191667987185
foodweb15,0.6600151238794261
foodweb16,0.6604910979351808
foodweb17,0.5521025515356166
foodweb18,0.6068125607035246
foodweb19,0.4917579002818504
foodweb2,0.4769411831966318
foodweb20,0.5454931419817861
foodweb3,0.6994333138239253
foodweb4,0.585564446273347
foodweb5,0.6704015050572462
foodweb6,0.7253522461630058
foodweb7,0.6212905213395932
foodweb8,0.6844576478386462
foodweb9,0.6882965074703356
G1,0.6045778962697292
G2,0.57660897995274
Goose lake,0.5985508005761107
Grass lake,0.6254765514289015
Gull lake north,0.6275880459546881
Gull lake,0.634373076901476
Hardknott Gill,0.6002475491266006
Helldiver pond,0.5834901874808912
HEW01,0.7214268190699896
HEW02,0.743099245347406
HEW03,0.7381788347731382
HEW04,0.7442683760132066
HEW05,0.7466222935832911
HEW06,0.7198328337157804
HEW10,0.7180162872097319
HEW11,0.7401630567746934
HEW12,0.6974610290938569
HEW13,0.7329554741678614
HEW16,0.7218223244578745
HEW17,0.737018245212024
HEW21,0.7214268190699896
HEW22,0.7497296034094986
HEW36,0.7000993299311968
HEW47,0.6830660608205609
High pond,0.5737643109760233
Hoel lake,0.6079101417865695
Horseshoe Lake,0.6021567695228379
Indian Lake,0.5616464746240865
IS1,0.5279789182224807
IS10,0.34739909202913893
IS11,0.3931364429974389
IS12,0.4622466787733158
IS13,0.5328301586938174
IS14,0.5592544151548646
IS16,0.4804633465435241
IS3,0.49087879563626785
IS4,0.4654350455028165
IS5,0.5569970054830031
IS6,0.5552971626646371
IS7,0.5003777779076564
IS8,0.4802435260181005
IS9,0.3932886362622729
L3,0.6329621898305327
L6,0.607800754382184
L7,0.6286708718313707
L8,0.5901883552331922
Little Rainbow Lake,0.6109345859184352
Lone Oak,0.7321276318819947
Long Lake,0.6316607430998703
Loon Lake,0.6211224968659571
Lost Lake East,0.6026708763221378
Lost Lake,0.6158589653326452
Lower Sister Lake,0.614641144939608
Maggiore,0.46305488369455994
Mill Stream,0.639326933494297
mordown1,0.5242886436529293
mordown2,0.43108509370700343
mordown3,0.5394403235129076
morup,0.3386650433191647
Mosedale Beck,0.4970949991931184
Nant Clywedog Uchaf,0.6142265994251787
Nant Gelli Gethin,0.6437918256563036
Nant Gwryd,0.5765844392585358
Nant Pen y Cwm,0.7060142988651061
Narrator Brook,0.6752836683266541
Old Lodge,0.5207059733468435
Oswego Lake,0.6056875234195068
Owl Lake,0.628847161789304
Rat Lake,0.631478533097589
Razorback Lake,0.6038558970147629
revetment,0.33345029317877967
rip rap,0.6085269184731495
River Bure,0.7399409293476856
River Duddon,0.6127369654705254
River Etherow,0.642703563113233
River Fiddich,0.5898037652444424
River Loddon,0.6963947259775203
River Lyde,0.7020585273430644
River Test,0.7494296118048654
River Wensum,0.716925307175023
Rock Lake,0.5855213761526706
Russian Lake,0.5931812053172123
S1,0.5999723810572369
S6,-0.3763036293418489
S8,0.7971028369455803
S8B,0.7971028369455803
S8C,0.8637732766340401
Safford Lake,0.6085516046420361
Sand Lake,0.5840197750837341
SEW01,0.6567974114392363
SEW02,0.7084968236795408
SEW03,0.7270009916900453
SEW04,0.7051049122201616
SEW05,0.5110832826784695
SEW06,0.7017548896710532
SEW07,0.5777105968385747
SEW08,0.6889177382796506
SEW09,0.6742331675316521
SEW18,0.6551604258752604
SEW35,0.7598305461702775
SEW36,0.69870111903857135
SEW37,0.6861196585017525
SEW41,0.6729062339544243
SEW43,0.6772314470897259
SEW48,0.730294127746219
Squaw Lake,0.5905240196062608
Stink Lake,0.5567235874041806
Sum53,0.6534411096530545
Sum55,0.6534411096530545
Twelfth Tee Lake,0.6014455385149869
Twin Lake East,0.5606213179235323
Twin Lake West,0.5585166697672332
Upper Duhonw,0.6655203621076308
Upper Llugwy,0.41560101284291423
Whipple Lake,0.5981939690448443
Win53,0.6534411096530545
Win55,0.6534411096530545
wing dike,0.32472004126145426
Wrynose Pass Beck,0.6005447539154741
