"","Acentronichthys_leptos","Anacroneuria","Baetidae","Belostomatidae","Biofilm","Blepharopus","Ceratopogonidae","Cernotina","Chimarra","Chironomidae","Corixidae","Farrodes","Gomphidae","Gripopteryx","Gymnotus_pantherinus","Helicopsyche","Heteragrion","Heterelmis","Hexacylloepus","Hollandichthys_multifasciatus","leaf","Leptonema","Macrobrachium","Macrogynoplax","Megaloptera","moss","Neoelmis","Oligochaeta_spA","Phylloicus","Planaria","Rhamdia_quelen","Schizolecis_guntheri","Simuliidae","Smicridea","Synoestropsis","terrestrial_invertebrates","Tipulidae","Veliidae_spA"
"Neoelmis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00901042559519714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oligochaeta_spA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phylloicus",0,0.994980914917353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995163287609394,0,0,0,0,0,0,0.948234876674733,0,0,0,0.995130671490077,0,0,0
"Planaria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rhamdia_quelen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Schizolecis_guntheri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Simuliidae",0.910004139774403,0.995240504207662,0,0,0,0,0,0,0,0,0,0,0.995046686473777,0,0,0,0.995088346119243,0,0,0,0,0,0.995153429442096,0.995172432999758,0.995079338594511,0,0,0,0,0,0,0.99515362603159,0,0,0,0,0,0
"Smicridea",0.0269727342381843,0.995169973155239,0,0,0,0,0,0,0,0,0,0,0,0,0.00937898584822448,0,0,0,0,0,0,0,0,0.994978566629338,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synoestropsis",0,0.995018093992318,0,0,0,0,0,0,0,0,0,0,0,0,0.00919214266651426,0,0,0,0,0,0,0,0,0.995121640167634,0,0,0,0,0,0,0.948124928691564,0,0,0,0.995053390689444,0,0,0
"terrestrial_invertebrates",0.932430364625036,0,0,0,0,0,0,0,0,0,0,0,0,0,0.927403520606618,0,0,0,0,0.943329900628726,0,0,0,0,0,0,0,0,0,0,0.948164815382698,0,0,0.994917931515843,0,0,0,0.995158264570327
"Tipulidae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00885897778461477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veliidae_spA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
