species,biomass,bodymass,metabolic_type
Acartia,2.364955167,1.00E-05,invertebrate
Autotroph,28.3538964,5.40E-09,primary producer
Bosmina,0.08473061,3.40E-05,invertebrate
Clupea harengus,5.298665034,16.6,ectotherm vertebrate
Coregonus,0,727.2,ectotherm vertebrate
Cyclopoida,0.061872137,1.10E-05,invertebrate
Detritus,1,1,detritus
Eurytemora affinis,2.90459628,1.70E-05,invertebrate
Evadne,0.144801602,4.40E-05,invertebrate
Gadus morhua,0,3000,ectotherm vertebrate
Gasterosteus aculeatus,2.44E-06,2.1,ectotherm vertebrate
Gymnocephalus cernua,0.0004745,51,ectotherm vertebrate
Heterotroph,0.53154718,1.19E-08,invertebrate
Keratella,0.002228938,1.00E-06,invertebrate
Limecola balthica,0.006210712,0.02,invertebrate
Limnocalanus macrurus,0.677416413,0.000211,invertebrate
Liparis liparis,0.000115625,50,ectotherm vertebrate
Marenzelleria,0.133530667,0.009,invertebrate
Mixotroph,0.39742762,1.46E-08,primary producer
Monoporeia affinis,1.7004844,0.002,invertebrate
Myoxocephalus quadricornis,0.0011885,219.9,ectotherm vertebrate
Myoxocephalus scorpius,0.0055035,182.7,ectotherm vertebrate
Neogobius melanostomus,0,50,ectotherm vertebrate
Oligochaeta,0.000502784,0.002,invertebrate
Osmerus eperlanus,0.085102125,50.5,ectotherm vertebrate
Platichthys flesus,0.000357,191.8,ectotherm vertebrate
Podon/pleopis,0,6.20E-05,invertebrate
Pomatoschistus,1.15E-06,0.5,ectotherm vertebrate
Pontoporeia femorata,0.55123113,0.018,invertebrate
Saduria entomon,15.20833419,0.79,invertebrate
Sander lucioperca,0.002576,1605,ectotherm vertebrate
Sprattus sprattus,0.001384375,8.8,ectotherm vertebrate
Synchaeta,0.699343865,6.00E-06,invertebrate
Zoarces viviparus,0.72704725,61.5,ectotherm vertebrate
