species,biomass,bodymass,metabolic_type
Acartia,2.992105363,1.00E-05,invertebrate
Autotroph,27.13582582,5.40E-09,primary producer
Bosmina,0.068737254,3.40E-05,invertebrate
Clupea harengus,6.201420698,16.6,ectotherm vertebrate
Coregonus,0.002249925,727.2,ectotherm vertebrate
Cyclopoida,0.090154025,1.10E-05,invertebrate
Detritus,1,1,detritus
Eurytemora affinis,2.718039957,1.70E-05,invertebrate
Evadne,0.148095451,4.40E-05,invertebrate
Gadus morhua,0,3000,ectotherm vertebrate
Gasterosteus aculeatus,0.004073953,2.1,ectotherm vertebrate
Gymnocephalus cernua,0.000618275,51,ectotherm vertebrate
Heterotroph,0.53555892,1.19E-08,invertebrate
Keratella,0.119696097,1.00E-06,invertebrate
Limecola balthica,0.291654563,0.02,invertebrate
Limnocalanus macrurus,2.082498033,0.000211,invertebrate
Liparis liparis,0.00034187,50,ectotherm vertebrate
Marenzelleria,0.686075562,0.009,invertebrate
Mixotroph,0.2813835,1.46E-08,primary producer
Monoporeia affinis,0.567914602,0.002,invertebrate
Myoxocephalus quadricornis,0.002829975,219.9,ectotherm vertebrate
Myoxocephalus scorpius,0.0001365,182.7,ectotherm vertebrate
Neogobius melanostomus,0,50,ectotherm vertebrate
Oligochaeta,0,0.002,invertebrate
Osmerus eperlanus,0.051569893,50.5,ectotherm vertebrate
Platichthys flesus,0.00048528,191.8,ectotherm vertebrate
Podon/pleopis,0.009230516,6.20E-05,invertebrate
Pomatoschistus,0.000115654,0.5,ectotherm vertebrate
Pontoporeia femorata,0.022883298,0.018,invertebrate
Saduria entomon,21.84904174,0.79,invertebrate
Sander lucioperca,0.0007157,1605,ectotherm vertebrate
Sprattus sprattus,0.094560836,8.8,ectotherm vertebrate
Synchaeta,1.864529105,6.00E-06,invertebrate
Zoarces viviparus,0.029909285,61.5,ectotherm vertebrate
