"FW_name","temperature_C","lat","lon","ecosystem.type","sampling.start.year","sampling.end.year","study_ID","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","metric","NPP.proxy","NPP.scale","NPP.scale2"
"AP1",28,-23.812962,-45.407827,"Marine",2013,2015,"Intertidal rockpools",0.0000559769552169751,532.428160836518,133.251414604422,399.176746232096,0.0343791039009695,13,755.020149774084,4,0.482993197278912,0.523809523809524,0.650137741046832,"Chl-a",0.407527680945939,-0.355079099717689,0.126081167056325
"AP2",29,-23.812993,-45.407856,"Marine",2013,2015,"Intertidal rockpools",0.00328419207019037,550.026954965578,120.630278458916,429.396676506662,0.264879677035012,18,763.578810801553,4,0.642699724517906,0.541,0.687851851851852,"Chl-a",0.407527680945939,-0.355079099717689,0.126081167056325
"AP3",30,-23.813024,-45.407884,"Marine",2013,2015,"Intertidal rockpools",0.074516137892287,696.765986228854,167.835720839561,528.930265389294,0.543744374934383,18,766.068687008068,3.62462797619048,0.662530101071768,0.549193231011413,0.684125084791751,"Chl-a",0.407527680945939,-0.355079099717689,0.126081167056325
"AP4",36,-23.813107,-45.407984,"Marine",2013,2015,"Intertidal rockpools",0.785650877594967,2415.08153585994,1509.51124512786,905.570290732075,24.3307073277215,12,756.795714285714,3.66666666666667,0.651971726190476,0.655092592592593,0.700323339212228,"Chl-a",0.407527680945939,-0.355079099717689,0.126081167056325
"BP1",26,-23.524249,-45.166796,"Marine",2013,2015,"Intertidal rockpools",0.000523621128473505,939.815057892,228.112737883042,711.702320008959,0.0528052872548288,28,803.08638277589,4,0.674046334993081,0.482678019868102,0.715192625164924,"Chl-a",0.217811428504868,-1.19749659832625,1.43399810300294
"BP2",27,-23.524136,-45.166698,"Marine",2013,2015,"Intertidal rockpools",0.000887263318289284,184.650850161913,5.41671870210722,179.234131459805,0.0000445820469309237,18,760.775,3,0.414814814814815,0.55679012345679,0.60960219478738,"Chl-a",0.217824142325634,-1.19742879577796,1.43383572095825
"BP3",28,-23.523881,-45.166716,"Marine",2013,2015,"Intertidal rockpools",0.00179439038891501,530.284484059322,174.474451226891,355.810032832431,0.473837961012452,22,761.071621621622,4,0.591293322062553,0.540816326530612,0.657460317460318,"Chl-a",0.217940431017999,-1.19680874487115,1.43235117180005
"CGP1",26,-23.8226002,-45.421782,"Marine",2013,2015,"Intertidal rockpools",0.00679648859110293,591.161379451503,153.074863124473,438.08651632703,0.00234006893121928,18,767.040737855545,3.83333333333333,0.451790633608815,0.50137741046832,0.604166666666667,"Chl-a",0.407527680945939,-0.355079099717689,0.126081167056325
"CGP2",33,-23.82601,-45.421768,"Marine",2013,2015,"Intertidal rockpools",0.0103236566616267,3669.78771867599,711.720096378931,2958.06762229705,0.0630158675705585,18,771.32430910918,3.46428571428571,0.537190082644628,0.625619834710744,0.677734375,"Chl-a",0.407527680945939,-0.355079099717689,0.126081167056325
"CGP3",35,-23.825912,-45.421779,"Marine",2013,2015,"Intertidal rockpools",0.00850905429682536,10227.3884606659,5554.74307626017,4672.64538440573,5.25783927769149,31,865.34735445385,4.1,0.797395748630242,0.613869669425225,0.805928271704552,"Chl-a",0.407527680945939,-0.355079099717689,0.126081167056325
"CR1P1",17,38.709952,-9.485974,"Marine",2013,2015,"Intertidal rockpools",0.0332767058030601,2969.35936232187,827.334326573947,2142.02503574793,0.101498297793799,63,1114.22170784186,4.2,0.68705385344486,0.65110579898412,0.695927392630539,"Chl-a",0.287415138731949,-0.856627772481248,0.733811140586184
"CR1P2",21,38.710015,-9.485945,"Marine",2013,2015,"Intertidal rockpools",0.0294987066857794,3679.79906282941,724.850555675245,2954.94850715417,0.0730042324115911,60,1114.45803159319,4,0.678806608569179,0.67719807662949,0.689105008569209,"Chl-a",0.287424370744176,-0.856585852053493,0.733739321938209
"CR1P3",22,38.709936,-9.486042,"Marine",2013,2015,"Intertidal rockpools",0.00784010222124007,920.51704364185,184.542604701874,735.974438939976,0.0441302197552072,42,1044.79677101037,4.05555555555555,0.69854251108798,0.402026944997633,0.606475404396196,"Chl-a",0.287355347319817,-0.856899288613214,0.734276390825831
"CR1P4",21,38.709946,-9.486071,"Marine",2013,2015,"Intertidal rockpools",0.0103199822537216,743.764175294397,201.475674527677,542.28850076672,0.085703236209016,40,1141.8958543918,3.49021417748918,0.544425473445205,0.58865729931047,0.568744850970142,"Chl-a",0.287135806849579,-0.857896489717918,0.735986387070326
"CR2P1",21,38.710621,-9.486132,"Marine",2013,2015,"Intertidal rockpools",0.063650795822221,692.743341324338,142.865134219162,549.878207105176,0.0453571563870115,48,1071.20207981169,3.73232323232323,0.663419183740244,0.610525316807269,0.663049149077887,"Chl-a",0.286703346723866,-0.85986199630944,0.739362652697256
