"FW_name","lat","lon","ecosystem.type","sampling.start.year","sampling.end.year","temperature","study_ID","stability","flux","second.consumption","prim.consumption","S","MaxTL","sim.sec.cons","sim.prim.cons","sim.total"
"AEW01",48.48,9.33,"Soils",2008,2011,8.239375,"Biodiversity exploratories",16124.171186451,4853.43225378972,289.065551802613,4564.3667019871,112,4.31677361986997,0.635183613089592,0.819444221376982,0.810616114705248
"AEW02",48.38,9.35,"Soils",2008,2011,8.35641791,"Biodiversity exploratories",16174.9126692715,5875.8611656498,428.312479279954,5447.54868636985,144,4.53076180661103,0.669750445818503,0.825793309192397,0.831507589120096
"AEW04",48.4,9.24,"Soils",2008,2011,8.20078125,"Biodiversity exploratories",3022.63091246021,4094.4151162214,162.094973034086,3932.32014318731,116,4.82427127854948,0.707389269476626,0.826652900034376,0.82953185832746
"AEW05",48.42,9.41,"Soils",2008,2011,8.919846154,"Biodiversity exploratories",6262.79388289004,4885.4194658765,245.942532543814,4639.47693333268,117,4.28856465313074,0.679180043055823,0.836509354339198,0.832175972095709
"AEW07",48.4,9.26,"Soils",2008,2011,6.412682927,"Biodiversity exploratories",5500.8162808522,3744.91142688936,211.064958731037,3533.84646815832,120,4.18281783914492,0.682339617131501,0.849655057093083,0.840368880142027
"AEW08",48.38,9.38,"Soils",2008,2011,8.659253731,"Biodiversity exploratories",4190.43803191493,6843.52066965071,558.173534866408,6285.3471347843,127,4.82366501851082,0.689104635882014,0.835641883394751,0.833266667797802
"AEW09",48.37,9.42,"Soils",2008,2011,8.616461538,"Biodiversity exploratories",3782.43999856516,8137.12812253899,393.167347334408,7743.96077520458,125,4.49140627324867,0.637559897480777,0.820987084073456,0.82462894206479
"AEW17",48.4,9.24,"Soils",2008,2011,8.066911765,"Biodiversity exploratories",4772.03475221768,4717.13150594606,324.256064727308,4392.87544121875,136,4.51541671624286,0.661450011134792,0.834354480441986,0.835557678368203
"AEW18",48.37,9.23,"Soils",2008,2011,8.851641791,"Biodiversity exploratories",17110.3890359622,4283.57737245327,246.845509880318,4036.73186257295,102,4.66526331135457,0.687453184266247,0.817212692118566,0.816362770120774
"AEW25",48.48,9.42,"Soils",2008,2011,8.954545455,"Biodiversity exploratories",4202.46880776875,5830.67794866411,849.025477709603,4981.6524709545,114,4.4746351844,0.695515311679264,0.828735176214423,0.835310962610476
"AEW27",48.4,9.47,"Soils",2008,2011,8.45953125,"Biodiversity exploratories",8284.35853303271,3303.65863979959,77.9911653257998,3225.66747447379,111,4.02719110660856,0.712347307594197,0.841530904272856,0.844252245691803
"AEW30",48.37,9.37,"Soils",2008,2011,7.325434783,"Biodiversity exploratories",2500.25301865197,5262.51198942816,78.7260253308741,5183.78596409728,105,4.06969438427469,0.627993489781155,0.821706778919204,0.81760693925059
"AEW49",48.45,9.48,"Soils",2008,2011,9.649047619,"Biodiversity exploratories",10633.6616401044,6924.86116783282,554.861722653158,6369.99944517966,145,4.41612519625245,0.680422074526167,0.840014193056927,0.840919994279841
"HEW01",51.19,10.32,"Soils",2008,2011,8.199733333,"Biodiversity exploratories",2920.25210656038,8160.21918154587,133.811694370176,8026.40748717569,125,4.06434088589588,0.71708842833212,0.848472881812359,0.837885461119958
