"FW_name","temperature_C","lat","lon","ecosystem.type","sampling.start.year","sampling.end.year","study_ID","stability","flux","second.consumption","prim.consumption","PC.predation","S","density","MaxTL","sim.sec.cons","sim.prim.cons","sim.total","L","LD","C","omnivory"
"AP1",28,-23.812962,-45.407827,"Marine",2013,2015,"Intertidal rockpools",5.59769552169751e-05,532.428160836518,133.251414604422,399.176746232096,0.0343791039009695,13,755.020149774084,4,0.482993197278912,0.523809523809524,0.650137741046832,15,1.15384615384615,0.0887573964497041,0.0681818181818182
"AP2",29,-23.812993,-45.407856,"Marine",2013,2015,"Intertidal rockpools",0.00328419207019037,550.026954965578,120.630278458916,429.396676506662,0.264879677035012,18,763.578810801553,4,0.642699724517906,0.541,0.687851851851852,37,2.05555555555556,0.114197530864198,0.166666666666667
"AP3",30,-23.813024,-45.407884,"Marine",2013,2015,"Intertidal rockpools",0.074516137892287,696.765986228854,167.835720839561,528.930265389294,0.543744374934383,18,766.068687008068,3.62462797619048,0.662530101071768,0.549193231011413,0.684125084791751,49,2.72222222222222,0.151234567901235,0.306594629496764
"AP4",36,-23.813107,-45.407984,"Marine",2013,2015,"Intertidal rockpools",0.785650877594967,2415.08153585994,1509.51124512786,905.570290732075,24.3307073277215,12,756.795714285714,3.66666666666667,0.651971726190476,0.655092592592593,0.700323339212228,21,1.75,0.145833333333333,0.354875656157707
"BP1",26,-23.524249,-45.166796,"Marine",2013,2015,"Intertidal rockpools",0.000523621128473505,939.815057892,228.112737883042,711.702320008959,0.0528052872548288,28,803.08638277589,4,0.674046334993081,0.482678019868102,0.715192625164924,89,3.17857142857143,0.113520408163265,0.0971910969819884
"BP2",27,-23.524136,-45.166698,"Marine",2013,2015,"Intertidal rockpools",0.000887263318289284,184.650850161913,5.41671870210722,179.234131459805,4.45820469309237e-05,18,760.775,3,0.414814814814815,0.55679012345679,0.60960219478738,33,1.83333333333333,0.101851851851852,0.0665294924554184
"BP3",28,-23.523881,-45.166716,"Marine",2013,2015,"Intertidal rockpools",0.00179439038891501,530.284484059322,174.474451226891,355.810032832431,0.473837961012452,22,761.071621621622,4,0.591293322062553,0.540816326530612,0.657460317460318,46,2.09090909090909,0.0950413223140496,0.0578231292517007
"CGP1",26,-23.8226002,-45.421782,"Marine",2013,2015,"Intertidal rockpools",0.00679648859110293,591.161379451503,153.074863124473,438.08651632703,0.00234006893121928,18,767.040737855545,3.83333333333333,0.451790633608815,0.50137741046832,0.604166666666667,24,1.33333333333333,0.0740740740740741,0.0972222222222222
"CGP2",33,-23.82601,-45.421768,"Marine",2013,2015,"Intertidal rockpools",0.0103236566616267,3669.78771867599,711.720096378931,2958.06762229705,0.0630158675705585,18,771.32430910918,3.46428571428571,0.537190082644628,0.625619834710744,0.677734375,30,1.66666666666667,0.0925925925925926,0.127152423469388
"CGP3",35,-23.825912,-45.421779,"Marine",2013,2015,"Intertidal rockpools",0.00850905429682536,10227.3884606659,5554.74307626017,4672.64538440573,5.25783927769149,31,865.34735445385,4.1,0.797395748630242,0.613869669425225,0.805928271704552,99,3.19354838709677,0.103017689906348,0.21949325042517
"CR1P1",17,38.709952,-9.485974,"Marine",2013,2015,"Intertidal rockpools",0.0332767058030601,2969.35936232187,827.334326573947,2142.02503574793,0.101498297793799,63,1114.22170784186,4.2,0.68705385344486,0.65110579898412,0.695927392630539,505,8.01587301587302,0.127236079617032,0.207288828292873
"CR1P2",21,38.710015,-9.485945,"Marine",2013,2015,"Intertidal rockpools",0.0294987066857794,3679.79906282941,724.850555675245,2954.94850715417,0.0730042324115911,60,1114.45803159319,4,0.678806608569179,0.67719807662949,0.689105008569209,473,7.88333333333333,0.131388888888889,0.284205367290121
"CR1P3",22,38.709936,-9.486042,"Marine",2013,2015,"Intertidal rockpools",0.00784010222124007,920.51704364185,184.542604701874,735.974438939976,0.0441302197552072,42,1044.79677101037,4.05555555555555,0.69854251108798,0.402026944997633,0.606475404396196,275,6.54761904761905,0.155895691609977,0.150444457854411
"CR1P4",21,38.709946,-9.486071,"Marine",2013,2015,"Intertidal rockpools",0.0103199822537216,743.764175294397,201.475674527677,542.28850076672,0.085703236209016,40,1141.8958543918,3.49021417748918,0.544425473445205,0.58865729931047,0.568744850970142,243,6.075,0.151875,0.136047160264916
"CR2P1",21,38.710621,-9.486132,"Marine",2013,2015,"Intertidal rockpools",0.063650795822221,692.743341324338,142.865134219162,549.878207105176,0.0453571563870115,48,1071.20207981169,3.73232323232323,0.663419183740244,0.610525316807269,0.663049149077887,360,7.5,0.15625,0.22829929024662
"CR2P2",15,38.71063,-9.486068,"Marine",2013,2015,"Intertidal rockpools",0.0342579596767926,1205.69282654889,368.251206886944,837.441619661946,0.0940229095034651,55,1149.20449620469,3.59615577296687,0.732494475753975,0.603849625888904,0.681103372863446,364,6.61818181818182,0.120330578512397,0.15361874888351
"CR2P3",18,38.71067,-9.485978,"Marine",2013,2015,"Intertidal rockpools",0.0499119272674927,704.741630239689,86.2769446755305,618.464685564158,0.0198440084976802,39,1065.20192504965,3.07142857142857,0.534550738768391,0.602146614649391,0.557599353675006,224,5.74358974358974,0.147271531886916,0.195976258387548
