"Achnanthes","Achnanthes austriaca minor","Achnanthes levanderi","Baetis rhodani","Ceratopogonidae","Chironomidae","Chloroperla tripunctata","CPOM","Diploneis elliptica","Encyonema minutum","Encyonema silesiacum","Eunotia denticulata","Eunotia exigua","Eunotia incisa","Eunotia pectinalis","Eunotia rhomboidea","FPOM","Frustulia rhomboides","Leuctra inermis","Limnius volckmari","Meridion circulare constrictum","Oligochaeta","Oulimnius","Pinnularia microstauron","Pinnularia subcapitata","Salmo salar","Salmo trutta","Simuliidae","Siphonoperla torrentium","Tabellaria flocculosa","Tabellaria quadriseptata","Tanypodinae","Tipulidae"
0,0,0,0,0.1364355311814,0.1364355311814,0,0,0,0,0,0,0,0,0,0,0,0,0.1364355311814,0.1364355311814,0,0.1364355311814,0.1364355311814,0,0,0,0,0.1364355311814,0,0,0,0,0.1364355311814
0,0,0,0,0.0018709386,0.0018709386,0,0,0,0,0,0,0,0,0,0,0,0,0.0018709386,0.0018709386,0,0.0018709386,0.0018709386,0,0,0,0,0.0018709386,0,0,0,0,0.0018709386
0,0,0,0,0.0006714606079776,0.0006714606079776,0,0,0,0,0,0,0,0,0,0,0,0,0.0006714606079776,0.0006714606079776,0,0.0006714606079776,0.0006714606079776,0,0,0,0,0.0006714606079776,0,0,0,0,0.0006714606079776
0,0,0,0,0,0,3.88495511072262e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88495511072262e-05,3.88495511072262e-05,0,3.88495511072262e-05,0,0,3.88495511072262e-05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.34115333269922e-06,6.34115333269922e-06,0,0,0,0,0,0
0,0,0,0,0,0,0.000155223003329758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155223003329758,0.000155223003329758,0,0.000155223003329758,0,0,0.000155223003329758,0
0,0,0,0,0,0,0.00054692664216753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00054692664216753,0.00054692664216753,0,0.00054692664216753,0,0,0.00054692664216753,0
0,0,0,1,0.398286061788067,0.194988405194639,0,0,0,0,0,0,0,0,0,0,0,0,0.398286061788067,0.398286061788067,0,0.303960853789967,0.398286061788067,0,0,0,0,0.178835032770017,0,0,0,0,0.0696872337546888
0,0,0,0,0.002225241773557,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002225241773557,0.002225241773557,0,0.002225241773557,0.002225241773557,0,0,0,0,0.002225241773557,0,0,0,0,0
0,0,0,0,1.279152e-05,1.279152e-05,0,0,0,0,0,0,0,0,0,0,0,0,1.279152e-05,1.279152e-05,0,1.279152e-05,1.279152e-05,0,0,0,0,1.279152e-05,0,0,0,0,1.279152e-05
0,0,0,0,3.304476e-05,3.304476e-05,0,0,0,0,0,0,0,0,0,0,0,0,3.304476e-05,3.304476e-05,0,3.304476e-05,3.304476e-05,0,0,0,0,3.304476e-05,0,0,0,0,3.304476e-05
0,0,0,0,0.00069202816,0.00069202816,0,0,0,0,0,0,0,0,0,0,0,0,0.00069202816,0.00069202816,0,0.00069202816,0.00069202816,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0615645099199,0.0615645099199,0,0,0,0,0,0,0,0,0,0,0,0,0.0615645099199,0.0615645099199,0,0.0615645099199,0.0615645099199,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0104496,0.0104496,0,0,0,0,0,0,0,0,0,0,0,0,0.0104496,0.0104496,0,0.0104496,0.0104496,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.1620115372,0.1620115372,0,0,0,0,0,0,0,0,0,0,0,0,0.1620115372,0.1620115372,0,0.1620115372,0.1620115372,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0.0158846676,0.0158846676,0,0,0,0,0,0,0,0,0,0,0,0,0.0158846676,0.0158846676,0,0.0158846676,0.0158846676,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0.398286061788067,0.194988405194639,0,0,0,0,0,0,0,0,0,0,0,0,0.398286061788067,0.398286061788067,0,0.303960853789967,0.398286061788067,0,0,0,0,0.178835032770017,0,0,0,0,0.0696872337546888
