FW_name,temperature,location,lat,lon,ecosystem.type,study.site,pH,c.forest,fish,MN_slope,triv_length,triv_slope,buffer.landuse,altitude,depth,sampling.time,sampling.start.year,sampling.end.year,notes,geographic.location.updated,link.citation,link.methodology,con.size.citation,con.size.method,res.size.citation,res.size.method
Duddon Pike Beck,9.8,UK,54.40501,-3.17022,Streams,UK streams,6.05,0,TRUE,-1.009954449,8.409746667,-0.745530001,Moorland,255,1,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
G1,9.16,UK,52.10348,-3.84368,Streams,UK streams,6.59,1.24252654,FALSE,-0.868334681,8.347001265,-0.792079766,Deciduous,225,1,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
G2,9.16,UK,52.10269,-3.85487,Streams,UK streams,6.54,1.722000424,FALSE,-1.011112589,7.896993069,-1.081561473,Deciduous,250,1,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
Hardknott Gill,9.8,UK,54.40401,-3.17251,Streams,UK streams,6.96,0,TRUE,-1.364938135,9.991156586,-1.026695892,Moorland,250,1,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
L3,10.16,UK,52.14271,-3.73477,Streams,UK streams,5.86,1.551861626,FALSE,-1.02969204,8.058577139,-0.951798213,Conifer,335,1,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
L6,10.16,UK,52.13286,-3.7233,Streams,UK streams,6.81,0,FALSE,-0.824671429,7.790745184,-0.777699186,Moorland,315,1,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
L7,10.16,UK,52.12941,-3.72769,Streams,UK streams,7.43,1.340999623,FALSE,-0.995908469,9.588276041,-0.995717244,Moorland,325,1,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
L8,10.16,UK,52.1264,-3.74978,Streams,UK streams,6.04,1.933036796,FALSE,-1.090749413,9.606335919,-0.816601258,Conifer,325,1,spring,2012,2012,NA,NA,Unpublished,published account,Unpublished,From L-W relationships,Unpublished,From L-W relationships
Lone Oak,10.67,UK,51.07648,0.103316,Streams,UK streams,5.2,1.486418049,FALSE,-0.88532276,5.838719079,-0.208580634,Deciduous,100,1,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
Mill Stream,9.1,UK,50.67748,-2.18273,Streams,UK streams,8.4,1.035766755,TRUE,-1.433739392,14.14411943,-1.264988054,Deciduous,8,1,spring,2005,2005,NA,NA,Perkins et. al. ELE 2018,published account,Perkins et. al. ELE 2018,From L-W relationships,Perkins et. al. ELE 2018,From L-W relationships
