"Achnanthes","Amphinemura sulcicollis","Baetis rhodani","Baetis vernus","Calopteryx splendens","Ceratopogonidae","Chironomidae","Cordulegaster boltonii","CPOM","Dicranota","Electrogena lateralis","Eunotia","Eunotia exigua","Eunotia incisa","Eunotia pectinalis","Eunotia rhomboidea","FPOM","Fragilaria","Frustulia rhomboides saxonica","Halesus radiatus","Oligochaeta","Oulimnius","Oxyethira","Peronia fibula","Pinnularia subcapitata","Plectrocnemia conspersa","Salmo trutta","Simuliidae","Siphonoperla torrentium","Tabellaria flocculosa","Tanypodinae","Tinodes waeneri","Tipulidae"
0,0.0785941435821,0,0,0,0.0785941435821,0.0785941435821,0,0,0,0.0785941435821,0,0,0,0,0,0,0,0,0,0.0785941435821,0.0785941435821,0.0785941435821,0,0,0,0,0,0,0,0,0.0785941435821,0
0,0.0255976193091,0,0,0,0.0255976193091,0.0255976193091,0,0,0,0.0255976193091,0,0,0,0,0,0,0,0,0,0.0255976193091,0.0255976193091,0.0255976193091,0,0,0,0,0,0,0,0,0.0255976193091,0
0,0.00683261668864,0,0,0,0.00683261668864,0.00683261668864,0,0,0,0.00683261668864,0,0,0,0,0,0,0,0,0,0.00683261668864,0.00683261668864,0.00683261668864,0,0,0,0,0,0,0,0,0.00683261668864,0
0,0.378462325614315,0.0052690171059,0.0052690171059,0,0.378462325614315,0.0920661313334,0,0,0.0058437837802,0.378462325614315,0,0,0,0,0,0,0,0,0.0052690171059,0.316641694715415,0.378462325614315,0.378462325614315,0,0,0,0,0.21569547117371,0,0,0,0.378462325614315,0.0058437837802
0,0.0105380342118,0.0105380342118,0.0105380342118,0,0.0105380342118,0.0105380342118,0,0,0.0105380342118,0.0105380342118,0,0,0,0,0,0,0,0,0.0105380342118,0,0.0105380342118,0.0105380342118,0,0,0,0,0.0105380342118,0,0,0,0.0105380342118,0.0105380342118
0,0.004138639733019,0,0,0,0.004138639733019,0,0,0,0,0.004138639733019,0,0,0,0,0,0,0,0,0,0.004138639733019,0.004138639733019,0.004138639733019,0,0,0,0,0.004138639733019,0,0,0,0.004138639733019,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1230197200032,0,0,0,0,0,0
0,0,0,0,0,0,0,0.016652688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016652688,0.016652688,0,0.016652688,0,0.016652688,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002084243184,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0.03998578618881,0,0,0,0.03998578618881,0,0,0,0,0.03998578618881,0,0,0,0,0,0,0,0,0,0.03998578618881,0.03998578618881,0.03998578618881,0,0,0,0,0,0,0,0,0.03998578618881,0
0,0.415564735054,0,0,0,0.415564735054,0,0,0,0,0.415564735054,0,0,0,0,0,0,0,0,0,0.415564735054,0.415564735054,0.415564735054,0,0,0,0,0.415564735054,0,0,0,0.415564735054,0
0,0,0,0,0,0,0,0.0126250959504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126250959504,0,0,0,0,0.0126250959504,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,0,0,0,0,0,0
0,0,0,0,0.0263031672176,0,0,0.0263031672176,0,0.0263031672176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263031672176,0.0263031672176,0,0.0263031672176,0,0.0263031672176,0,0
0,0,0,0,0,0,0,0.0224343736976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224343736976,0,0,0.0224343736976,0,0.0224343736976,0,0
0,0.113103227586,0,0,0,0.113103227586,0,0,0,0,0.113103227586,0,0,0,0,0,0,0,0,0,0,0.113103227586,0.113103227586,0,0,0,0,0,0,0,0,0.113103227586,0
0,0,0,0,0.0944084572224,0,0,0.0944084572224,0,0.0944084572224,0,0,0,0,0,0,0,0,0,0.0944084572224,0,0,0,0,0,0.0944084572224,0.0944084572224,0,0.0944084572224,0,0.0944084572224,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0014268277616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014268277616,0.0014268277616,0,0,0,0.0014268277616,0,0
