"Achnanthes","Amphinemura sulcicollis","Baetis rhodani","Baetis vernus","Calopteryx splendens","Ceratopogonidae","Chironomidae","Cordulegaster boltonii","CPOM","Dicranota","Electrogena lateralis","Eunotia","Eunotia exigua","Eunotia incisa","Eunotia pectinalis","Eunotia rhomboidea","FPOM","Fragilaria","Frustulia rhomboides saxonica","Halesus radiatus","Oligochaeta","Oulimnius","Oxyethira","Peronia fibula","Pinnularia subcapitata","Plectrocnemia conspersa","Salmo trutta","Simuliidae","Siphonoperla torrentium","Tabellaria flocculosa","Tanypodinae","Tinodes waeneri","Tipulidae"
0,0.0011495333486,0,0,0,0.0011495333486,0.0011495333486,0,0,0.0011495333486,0.0011495333486,0,0,0,0,0,0,0,0,0,0.0011495333486,0.0011495333486,0.0011495333486,0,0,0,0,0.0011495333486,0,0,0,0.0011495333486,0.0011495333486
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007919609952,0,0,0,0,0,0
0,0,0,0,0,0,0,0.0053501643552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0053501643552,0.0053501643552,0,0.0053501643552,0,0.0053501643552,0,0
0,0,0,0,0,0,0,0.0013612311792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013612311792,0.0013612311792,0,0.0013612311792,0,0.0013612311792,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0.0024167440128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024167440128,0,0,0,0,0,0
0,0,0,0,0.14951854128,0,0,0.14951854128,0,0.14951854128,0,0,0,0,0,0,0,0,0,0.14951854128,0,0,0,0,0,0.14951854128,0.14951854128,0,0.14951854128,0,0.14951854128,0,0
0,0,0,0,0,0,0,0.171603489888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171603489888,0.171603489888,0,0,0,0,0,0
0,0.378462325614315,0.0052690171059,0.0052690171059,0,0.378462325614315,0.0920661313334,0,0,0.0058437837802,0.378462325614315,0,0,0,0,0,0,0,0,0.0052690171059,0.316641694715415,0.378462325614315,0.378462325614315,0,0,1,0,0.21569547117371,0,0,0,0.378462325614315,0.0058437837802
0,0,0,0,0,0,0,0.0021467571072,0,0.0021467571072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021467571072,0.0021467571072,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030485866288,0.0030485866288,0,0,0,0,0,0
0,0.02138459564736,0,0,0,0.02138459564736,0.02138459564736,0,0,0,0.02138459564736,0,0,0,0,0,0,0,0,0,0.02138459564736,0.02138459564736,0.02138459564736,0,0,0,0,0,0,0,0,0.02138459564736,0
0,0.0400357198792,0,0,0,0.0400357198792,0.0400357198792,0,0,0,0.0400357198792,0,0,0,0,0,0,0,0,0,0.0400357198792,0.0400357198792,0.0400357198792,0,0,0,0,0,0,0,0,0.0400357198792,0
