"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"WP2.csv"
"Gammaridae","swimming",0.0011,"invertebrate",0.016,"WP2.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"WP2.csv"
"Polychaeta","walking",0.0012,"invertebrate",0.0093,"WP2.csv"
"Spirorbis spirorbis","sessile",2e-04,"invertebrate",2e-04,"WP2.csv"
"Harparticoida","swimming",0.001,"invertebrate",0.001,"WP2.csv"
"Ostracoda","swimming",0.001,"invertebrate",0.001,"WP2.csv"
"Halacaridae","walking",2e-04,"invertebrate",4e-04,"WP2.csv"
"Amphipholis squamata","walking",6e-04,"invertebrate",0.0012,"WP2.csv"
"Bivalvia","sessile",0.0017,"invertebrate",0.003,"WP2.csv"
"Stenothoidae","swimming",0.0019,"invertebrate",0.021,"WP2.csv"
"Nemertea","walking",0.01,"invertebrate",2e-04,"WP2.csv"
"Nereis sp.","walking",0.0076,"invertebrate",0.076,"WP2.csv"
"Palaemon serratus","swimming",0.01,"invertebrate",NA,"WP2.csv"
"Tanaidacea","walking",0.0012,"invertebrate",0.021,"WP2.csv"
"Ulva lactuca","sessile",2e-04,"primary producer",48700,"WP2.csv"
"Nematoda","walking",2e-04,"invertebrate",0.01,"WP2.csv"
"Acanthochitona crinita","walking",0.01,"invertebrate",0.1,"WP2.csv"
"Omalogyra atomus","walking",3e-04,"invertebrate",2,"WP2.csv"
"Barleeia sp.","walking",0.0026,"invertebrate",0.0079,"WP2.csv"
"Patella vulgata","other",0.01,"invertebrate",0.1,"WP2.csv"
"Gibbula umbilicalis","walking",0.3297,"invertebrate",3.3,"WP2.csv"
"Insecta","swimming",2e-04,"invertebrate",0.0016,"WP2.csv"
"Phymatolithon calcareum","sessile",2e-04,"primary producer",0.1,"WP2.csv"
"Furcellaria lumbricalis","sessile",2e-04,"primary producer",291,"WP2.csv"
"Nemalion helminthoides","sessile",2e-04,"primary producer",0.1,"WP2.csv"
