"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",6e-04,"invertebrate",0.009,"CR1P2.csv"
"Turbellaria","swimming",8e-04,"invertebrate",0.001,"CR1P2.csv"
"Atherina boyeri","swimming",0.01,"ectotherm vertebrate",0.1,"CR1P2.csv"
"Polychaeta","walking",0.0035,"invertebrate",0.07,"CR1P2.csv"
"Palaemon longirostris","swimming",0.102,"invertebrate",1.74,"CR1P2.csv"
"Gobius niger","swimming",0.2,"ectotherm vertebrate",0.2,"CR1P2.csv"
"Gobius paganellus","swimming",0.285,"ectotherm vertebrate",6.27,"CR1P2.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"CR1P2.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"CR1P2.csv"
"Gammaridae","swimming",4e-04,"invertebrate",4e-04,"CR1P2.csv"
"Caprella sp.","walking",2e-04,"invertebrate",2e-04,"CR1P2.csv"
"Musculus costulatus","sessile",0.0085,"invertebrate",0.186,"CR1P2.csv"
"Cardiidae","sessile",0.005,"invertebrate",0.02,"CR1P2.csv"
"Botryllus schlosseri","sessile",0.01,"invertebrate",0.1,"CR1P2.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"CR1P2.csv"
"Chthamalus sp.","sessile",0.01,"invertebrate",0.1,"CR1P2.csv"
"Aulactinia verrucosa","sessile",0.2,"invertebrate",0.2,"CR1P2.csv"
"Sagartia elegans","sessile",0.15,"invertebrate",0.45,"CR1P2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"CR1P2.csv"
"Oligochaeta","walking",4e-04,"invertebrate",0.002,"CR1P2.csv"
"Mytilus galloprovincialis","sessile",0.156,"invertebrate",3.98,"CR1P2.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",2121,"CR1P2.csv"
"Pantopoda","walking",8e-04,"invertebrate",0.001,"CR1P2.csv"
"Asterina gibbosa","walking",0.552,"invertebrate",6.07,"CR1P2.csv"
"Ophiuroidea","walking",0.778,"invertebrate",2.33,"CR1P2.csv"
"Paracentrotus lividus","walking",2.48,"invertebrate",57.02,"CR1P2.csv"
"Lipophrys trigloides","swimming",2.51,"ectotherm vertebrate",20.11,"CR1P2.csv"
"Lipophrys pholis","swimming",4.58,"ectotherm vertebrate",54.9,"CR1P2.csv"
"Coryphoblennius galerita","swimming",0.6575,"ectotherm vertebrate",2.63,"CR1P2.csv"
"Actinia equina","sessile",2.515,"invertebrate",10.06,"CR1P2.csv"
"Actinia fragacea","sessile",0.935,"invertebrate",3.74,"CR1P2.csv"
"Acanthochitona crinita","walking",0.152,"invertebrate",0.61,"CR1P2.csv"
"Lepidochitona cinerea","walking",0.162,"invertebrate",3.23,"CR1P2.csv"
"Leptochiton algesirensis","walking",0.113,"invertebrate",0.23,"CR1P2.csv"
"Patella vulgata","other",0.635,"invertebrate",1.27,"CR1P2.csv"
"Patella depressa","walking",3.14,"invertebrate",72.17,"CR1P2.csv"
"Patella ulyssiponensis","walking",5.215,"invertebrate",20.86,"CR1P2.csv"
"Gibbula umbilicalis","walking",0.403,"invertebrate",11.69,"CR1P2.csv"
"Rissoidae","walking",9e-04,"invertebrate",0.001,"CR1P2.csv"
"Omalogyra atomus","walking",7e-04,"invertebrate",0.015,"CR1P2.csv"
"Barleeia sp.","walking",0.002,"invertebrate",0.027,"CR1P2.csv"
"Aplysia punctata","walking",11.19,"invertebrate",223.9,"CR1P2.csv"
"Sphaeromatidae","walking",0.162,"invertebrate",0.49,"CR1P2.csv"
"Stenothoidae","swimming",6e-04,"invertebrate",0.03,"CR1P2.csv"
"Palaemon elegans","swimming",1.62,"invertebrate",8.1,"CR1P2.csv"
"Pirimela denticulata","walking",0.265,"invertebrate",0.53,"CR1P2.csv"
"Codium sp.","sessile",0.000228,"primary producer",90.5,"CR1P2.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",0.1,"CR1P2.csv"
"Bifurcaria bifurcata","sessile",0.000228,"primary producer",2.07,"CR1P2.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",0.213,"CR1P2.csv"
"Fucus vesiculosus","sessile",0.000228,"primary producer",0.1,"CR1P2.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",336,"CR1P2.csv"
"Anemonia sulcata","sessile",35.33,"invertebrate",212,"CR1P2.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",185.9,"CR1P2.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",5640,"CR1P2.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",0.01,"CR1P2.csv"
"Aeolidia papillosa","walking",0.237,"invertebrate",0.2,"CR1P2.csv"
"Nemertea","walking",3e-04,"invertebrate",0.002,"CR1P2.csv"
"Turridae","walking",0.0015,"invertebrate",0.002,"CR1P2.csv"
"Lysianassidae","swimming",0.0075,"invertebrate",0.015,"CR1P2.csv"
