"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",0.0022,"invertebrate",0.008,"L1P4.csv"
"Palaemon elegans","swimming",0.11,"invertebrate",0.34,"L1P4.csv"
"Gobius paganellus","swimming",0.243,"ectotherm vertebrate",0.24,"L1P4.csv"
"Polychaeta","walking",0.006,"invertebrate",0.12,"L1P4.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"L1P4.csv"
"Tricolia pullus","walking",0.0019,"invertebrate",0.002,"L1P4.csv"
"Gammaridae","swimming",0.001,"invertebrate",0.001,"L1P4.csv"
"Ophiuroidea","walking",0.0062,"invertebrate",0.04,"L1P4.csv"
"Procerodes sp.","walking",7e-04,"invertebrate",7e-04,"L1P4.csv"
"Musculus costulatus","sessile",0.004,"invertebrate",0.03,"L1P4.csv"
"Mytilus galloprovincialis","other",0.0043,"invertebrate",0.004,"L1P4.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"L1P4.csv"
"Mysida","swimming",0.0013,"invertebrate",0.001,"L1P4.csv"
"Oligochaeta","walking",0.01,"invertebrate",0.01,"L1P4.csv"
"Petricolinae","sessile",0.083,"invertebrate",0.08,"L1P4.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",11.85,"L1P4.csv"
"Sphaeromatidae","walking",0.015,"invertebrate",0.1,"L1P4.csv"
"Omalogyra atomus","walking",5e-04,"invertebrate",5e-04,"L1P4.csv"
"Stenothoidae","swimming",9e-04,"invertebrate",0.006,"L1P4.csv"
"Barleeia sp.","walking",0.003,"invertebrate",0.06,"L1P4.csv"
"Acanthochitona crinita","walking",0.0016,"invertebrate",0.002,"L1P4.csv"
"Lepidochitona cinerea","walking",0.086,"invertebrate",0.1,"L1P4.csv"
"Eriphia verrucosa","walking",1,"invertebrate",1,"L1P4.csv"
"Patella ulyssiponensis","walking",0.0062,"invertebrate",0.01,"L1P4.csv"
"Calliopidae","swimming",0.0082,"invertebrate",0.008,"L1P4.csv"
"Gibbula umbilicalis","walking",0.55,"invertebrate",0.55,"L1P4.csv"
"Rissoidae","walking",0.0024,"invertebrate",0.005,"L1P4.csv"
"Ampithoidae","swimming",0.0034,"invertebrate",0.02,"L1P4.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",4.12,"L1P4.csv"
"Bifurcaria bifurcata","sessile",0.000228,"primary producer",9.8,"L1P4.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",16.25,"L1P4.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",17.83,"L1P4.csv"
"Saccorhiza polyschides","sessile",0.000228,"primary producer",9.38,"L1P4.csv"
"Dictyota dichotoma","sessile",0.000228,"primary producer",0.63,"L1P4.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",104.7,"L1P4.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",162.2,"L1P4.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",22.05,"L1P4.csv"
"Ceramium ciliatum","sessile",0.000228,"primary producer",1.33,"L1P4.csv"
"Laurencia pinnatifida","sessile",0.000228,"primary producer",0.73,"L1P4.csv"
"Chondrus crispus","sessile",0.000228,"primary producer",2.96,"L1P4.csv"
"Palmaria palmata","sessile",0.000228,"primary producer",0.38,"L1P4.csv"
"Turridae","walking",0.005,"invertebrate",0.05,"L1P4.csv"
"Anemonia sulcata","sessile",29.06,"invertebrate",145.28,"L1P4.csv"
"Amphilochidae","swimming",0.0024,"invertebrate",0.002,"L1P4.csv"
