"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"PC1P1.csv"
"Batzella inops","sessile",0.01,"invertebrate",0.1,"PC1P1.csv"
"Gammaridae","swimming",0.0012,"invertebrate",0.0048,"PC1P1.csv"
"Zooplankton","swimming",0.001,"invertebrate",2,"PC1P1.csv"
"Priapulida","walking",0.006,"invertebrate",0.006,"PC1P1.csv"
"Lipophrys pholis","swimming",0.01,"ectotherm vertebrate",0.1,"PC1P1.csv"
"Coryphoblennius galerita","swimming",0.225,"ectotherm vertebrate",0.45,"PC1P1.csv"
"Liza ramada","swimming",0.103,"ectotherm vertebrate",1.55,"PC1P1.csv"
"Oligochaeta","walking",0.0028,"invertebrate",0.0056,"PC1P1.csv"
"Polychaeta","walking",9e-04,"invertebrate",0.0053,"PC1P1.csv"
"Insecta","swimming",0.01,"invertebrate",0.001,"PC1P1.csv"
"Caulerpa webbiana","sessile",0.000228,"primary producer",0.7,"PC1P1.csv"
"Parablennius parvicornis","swimming",5.29,"ectotherm vertebrate",5.29,"PC1P1.csv"
"Omalogyra atomus","walking",2e-04,"invertebrate",1e-04,"PC1P1.csv"
"Palaemon elegans","swimming",1.97,"invertebrate",1.97,"PC1P1.csv"
"Cladophora prolifera","sessile",0.000228,"primary producer",2265,"PC1P1.csv"
"Halopteris filicina","sessile",0.000228,"primary producer",180,"PC1P1.csv"
"Sargassum vulgare","sessile",0.000228,"primary producer",12.57,"PC1P1.csv"
"Padina pavonica","sessile",0.000228,"primary producer",920,"PC1P1.csv"
"Corallina sp.","sessile",0.000228,"primary producer",0.01,"PC1P1.csv"
"Tricleocarpa cylindrica","sessile",0.000228,"primary producer",39700,"PC1P1.csv"
"Turridae","walking",0.01,"invertebrate",0.01,"PC1P1.csv"
