"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",0.001,"invertebrate",0.003,"L1P3.csv"
"Nassariidae","walking",0.01,"invertebrate",0.1,"L1P3.csv"
"Polychaeta","walking",0.04,"invertebrate",0.04,"L1P3.csv"
"Lipophrys pholis","swimming",0.15,"ectotherm vertebrate",0.15,"L1P3.csv"
"Palaemon longirostris","swimming",0.22,"invertebrate",0.43,"L1P3.csv"
"Palaemon elegans","swimming",0.36,"invertebrate",0.72,"L1P3.csv"
"Gobius paganellus","swimming",0.37,"ectotherm vertebrate",0.37,"L1P3.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"L1P3.csv"
"Tricolia pullus","walking",0.011,"invertebrate",0.04,"L1P3.csv"
"Gammaridae","swimming",0.002,"invertebrate",0.02,"L1P3.csv"
"Ophiuroidea","walking",0.01,"invertebrate",0.033,"L1P3.csv"
"Musculus costulatus","sessile",0.007,"invertebrate",0.15,"L1P3.csv"
"Mytilus galloprovincialis","other",0.01,"invertebrate",0.04,"L1P3.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"L1P3.csv"
"Cardiidae","sessile",0.01,"invertebrate",0.01,"L1P3.csv"
"Aulactinia verrucosa","sessile",0.01,"invertebrate",0.1,"L1P3.csv"
"Lepidotrigla sp.","swimming",0.01,"ectotherm vertebrate",0.1,"L1P3.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"L1P3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",211.8,"L1P3.csv"
"Paracentrotus lividus","walking",16.71,"invertebrate",50.12,"L1P3.csv"
"Lipophrys trigloides","swimming",0.77,"ectotherm vertebrate",0.77,"L1P3.csv"
"Coryphoblennius galerita","swimming",0.79,"ectotherm vertebrate",2.36,"L1P3.csv"
"Acanthochitona crinita","walking",0.02,"invertebrate",0.023,"L1P3.csv"
"Gibbula umbilicalis","walking",0.03,"invertebrate",0.21,"L1P3.csv"
"Rissoidae","walking",0.004,"invertebrate",0.004,"L1P3.csv"
"Omalogyra atomus","walking",4e-04,"invertebrate",0.002,"L1P3.csv"
"Barleeia sp.","walking",0.005,"invertebrate",0.09,"L1P3.csv"
"Aplysia punctata","walking",0.12,"invertebrate",0.35,"L1P3.csv"
"Sphaeromatidae","walking",0.04,"invertebrate",0.18,"L1P3.csv"
"Ampithoidae","swimming",0.01,"invertebrate",0.001,"L1P3.csv"
"Stenothoidae","swimming",5e-04,"invertebrate",0.002,"L1P3.csv"
"Calliopidae","swimming",0.013,"invertebrate",0.01,"L1P3.csv"
"Xantho pilipes","walking",0.01,"invertebrate",0.1,"L1P3.csv"
"Pirimela denticulata","walking",0.45,"invertebrate",0.45,"L1P3.csv"
"Carcinus maenas","walking",0.76,"invertebrate",0.76,"L1P3.csv"
"Necora puber","walking",0.01,"invertebrate",0.1,"L1P3.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",3.77,"L1P3.csv"
"Bifurcaria bifurcata","sessile",0.000228,"primary producer",8.1,"L1P3.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",40,"L1P3.csv"
"Saccorhiza polyschides","sessile",0.000228,"primary producer",90,"L1P3.csv"
"Anemonia sulcata","sessile",48.49,"invertebrate",242.45,"L1P3.csv"
"Gobius niger","swimming",1.51,"ectotherm vertebrate",9.08,"L1P3.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",3650,"L1P3.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",261.4,"L1P3.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",66.33,"L1P3.csv"
"Gelidium spinosum","sessile",0.000228,"primary producer",16.4,"L1P3.csv"
"Turridae","walking",0.006,"invertebrate",0.12,"L1P3.csv"
"Nucella sp.","walking",0.02,"invertebrate",0.02,"L1P3.csv"
