"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"PhytoP","other",1e-04,"primary producer",2.5,"PP1I2.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"PP1I2.csv"
"Fabricia stellaris","sessile",2e-04,"invertebrate",2e-04,"PP1I2.csv"
"Gammarus oceanicus","swimming",0.1309,"invertebrate",1.96,"PP1I2.csv"
"Eteone longa","walking",0.0108,"invertebrate",0.011,"PP1I2.csv"
"Ulvaria obscura","sessile",0.000228,"primary producer",1.38,"PP1I2.csv"
"Testudinalia testudinalis","walking",0.1706,"invertebrate",1.71,"PP1I2.csv"
"Littorina obtusata","walking",0.0543,"invertebrate",0.38,"PP1I2.csv"
"Littorina saxatilis","walking",0.0349,"invertebrate",0.14,"PP1I2.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"PP1I2.csv"
"Dictyosiphon foeniculaceus","sessile",0.000228,"primary producer",0.47,"PP1I2.csv"
"Fucus","sessile",0.000228,"primary producer",23.71,"PP1I2.csv"
"Clathromorphum circumscriptum","sessile",0.000228,"primary producer",0.1,"PP1I2.csv"
"Diatomophyceae","sessile",2e-04,"primary producer",8.63,"PP1I2.csv"
