"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Nematoda","walking",0.01,"invertebrate",0.01,"PGSBP1.csv"
"Bathygobius soporator","swimming",0.36,"ectotherm vertebrate",2.18,"PGSBP1.csv"
"PhytoP","other",1e-04,"primary producer",0.5,"PGSBP1.csv"
"Copepoda","swimming",0.001,"invertebrate",0.001,"PGSBP1.csv"
"Zooplankton","swimming",0.001,"invertebrate",3,"PGSBP1.csv"
"Tetraclita stalactifera","sessile",0.008,"invertebrate",0.008,"PGSBP1.csv"
"Tanaidacea","walking",0.01,"invertebrate",0.001,"PGSBP1.csv"
"Isopoda","walking",0.01,"invertebrate",0.001,"PGSBP1.csv"
"Gammaridae","swimming",0.01,"invertebrate",0.001,"PGSBP1.csv"
"Polychaeta","walking",0.01,"invertebrate",0.01,"PGSBP1.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",7100,"PGSBP1.csv"
"Pachygrapsus transversus","walking",1.07,"invertebrate",1.07,"PGSBP1.csv"
"Scartella cristata","swimming",0.68,"ectotherm vertebrate",0.68,"PGSBP1.csv"
"Palaemon northropi","swimming",0.17,"invertebrate",2.22,"PGSBP1.csv"
"Morula nodulosa","walking",1,"invertebrate",1,"PGSBP1.csv"
"Pagurus sp.","walking",0.11,"invertebrate",0.11,"PGSBP1.csv"
"Hypnea musciformis","sessile",0.000228,"primary producer",8.36,"PGSBP1.csv"
