"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Alitta virens","walking",0.8461,"invertebrate",1.7,"PP2M3.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"PP2M3.csv"
"Mytilus sp.","sessile",1.6511,"invertebrate",20.96,"PP2M3.csv"
"Zooplankton","swimming",0.001,"invertebrate",10,"PP2M3.csv"
"Hediste diversicolor","walking",0.0712,"invertebrate",0.43,"PP2M3.csv"
"Eteone longa","walking",0.0049,"invertebrate",0.009,"PP2M3.csv"
"Oligochaeta","walking",2e-04,"invertebrate",3e-04,"PP2M3.csv"
"Gammarus oceanicus","swimming",0.1127,"invertebrate",1.13,"PP2M3.csv"
"Fucus","sessile",0.000228,"primary producer",40.01,"PP2M3.csv"
"Littorina littorea","walking",1.0808,"invertebrate",1.08,"PP2M3.csv"
"Littorina obtusata","walking",0.1696,"invertebrate",1.99,"PP2M3.csv"
"Littorina saxatilis","walking",0.1344,"invertebrate",0.34,"PP2M3.csv"
"Testudinalia testudinalis","walking",0.2879,"invertebrate",1.44,"PP2M3.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"PP2M3.csv"
"Petalonia fascia","sessile",0.000228,"primary producer",0.68,"PP2M3.csv"
"Ralfsia verrucosa","sessile",0.000228,"primary producer",0.1,"PP2M3.csv"
"Ascophyllum nodosum","sessile",0.000228,"primary producer",51.33,"PP2M3.csv"
"Clathromorphum circumscriptum","sessile",0.000228,"primary producer",0.1,"PP2M3.csv"
"Diatomophyceae","sessile",2e-04,"primary producer",15.33,"PP2M3.csv"
