FW_name,temperature_C,Area,Depth,Elevetation,lat,lon,ecosystem.type,sampling.start.year,sampling.end.year
AP1,28,0.29,0.12,0.7,-23.812962,-45.407827,Marine,2013,2015
AP2,29,2.52,0.8,0.4,-23.812993,-45.407856,Marine,2013,2015
AP3,30,15.07,0.4,0.1,-23.813024,-45.407884,Marine,2013,2015
AP4,36,2.56,0.3,0.9,-23.813107,-45.407984,Marine,2013,2015
BP1,26,10.26,0.46,1,-23.524249,-45.166796,Marine,2013,2015
BP2,27,2.78,0.13,2.2,-23.524136,-45.166698,Marine,2013,2015
BP3,28,0.64,0.3,0.7,-23.523881,-45.166716,Marine,2013,2015
CGP1,26,0.71,0.8,0.7,-23.8226002,-45.421782,Marine,2013,2015
CGP2,33,2.41,0.7,0.7,-23.82601,-45.421768,Marine,2013,2015
CGP3,35,32.5,0.21,0.3,-23.825912,-45.421779,Marine,2013,2015
CR1P1,17,1.05,0.38,0.3,38.709952,-9.485974,Marine,2013,2015
CR1P2,21,4.64,0.3,0.7,38.710015,-9.485945,Marine,2013,2015
CR1P3,22,0.79,0.7,1,38.709936,-9.486042,Marine,2013,2015
CR1P4,21,0.24,0.12,0.9,38.709946,-9.486071,Marine,2013,2015
CR2P1,21,1.19,0.17,0.9,38.710621,-9.486132,Marine,2013,2015
CR2P2,15,14.68,0.4,0.8,38.71063,-9.486068,Marine,2013,2015
CR2P3,18,1.14,0.22,2.2,38.71067,-9.485978,Marine,2013,2015
CR2P4,23,1.49,0.22,2,38.710653,-9.485925,Marine,2013,2015
F1P1,24,1.55,0.41,1,-25.969864,32.991403,Marine,2013,2015
F1P2,24,0.73,0.24,1.5,-25.969947,32.991658,Marine,2013,2015
F1P3,24,0.64,0.38,0.5,-25.970258,32.992506,Marine,2013,2015
F1P4,24,0.2,0.32,0.5,-25.970464,32.992661,Marine,2013,2015
F2P1,24,7.35,0.4,1,-25.971056,32.993669,Marine,2013,2015
F2P2,24,2.4,0.38,0.5,-25.971186,32.993579,Marine,2013,2015
F2P3,23,0.39,0.2,0.4,-25.971569,32.993542,Marine,2013,2015
F2P4,23,2.33,0.47,1,-25.971744,32.99355,Marine,2013,2015
FP1,27,0.64,0.12,0.5,-23.529452,-45.157673,Marine,2013,2015
FXAP1,30,3.9,0.56,0.5,-3.2116634,-39.26622,Marine,2013,2015
FXAP2,30,11.6,0.43,0.5,-3.216738,-39.266191,Marine,2013,2015
FXAP3,31,0.62,0.5,0.5,-3.216667,-39.26613,Marine,2013,2015
FXAP4,31,0.38,0.11,0.1,-3.216639,-39.266168,Marine,2013,2015
FXBP1,32,0.45,0.13,0.1,-3.217707,-39.268045,Marine,2013,2015
FXBP2,31,1.27,0.15,0.1,-3.217727,-39.267981,Marine,2013,2015
FXBP3,29,3.31,0.18,0.5,-3.217815,-39.268296,Marine,2013,2015
FXBP4,29,18.78,0.55,0.5,-3.217817,-39.26822,Marine,2013,2015
GJAP1,31,4.19,0.42,0.1,-3.23754,-39.230439,Marine,2013,2015
GJAP2,34,0.16,0.22,0.1,-3.237669,-39.230434,Marine,2013,2015
GJAP3,33,1.43,0.21,0.1,-3.237576,-39.230841,Marine,2013,2015
GJAP4,29,0.33,0.19,0.1,-3.23772,-39.230302,Marine,2013,2015
GJBP1,32,6.12,0.58,0.5,-3.239132,-39.228635,Marine,2013,2015
