"Gammaridae","Stenothoidae","Sphaeromatidae","Polychaeta","Carcinus.maenas","PhytoP","Harparticoida","Zooplankton","Spirorbis.spirorbis","Nematoda","Oligochaeta","Insecta","Omalogyra.atomus","Fucus.vesiculosus","Littorina.littorea","Gibbula.umbilicalis","Ascophyllum.nodosum","Ectocarpus.siliculosus","Corallina.officinalis"
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0
