"species","movement_type","bodymass","metabolic_type","biomass","fw_name"
"Insecta","swimming",0.001,"invertebrate",0.022,"RV1P3.csv"
"Nassariidae","walking",0.016,"invertebrate",0.05,"RV1P3.csv"
"Atherina boyeri","swimming",0.01,"ectotherm vertebrate",NA,"RV1P3.csv"
"Polychaeta","walking",0.0063,"invertebrate",0.13,"RV1P3.csv"
"Palaemon longirostris","swimming",0.083,"invertebrate",0.41,"RV1P3.csv"
"PhytoP","other",1e-04,"primary producer",2.5,"RV1P3.csv"
"Zooplankton","swimming",0.001,"invertebrate",4,"RV1P3.csv"
"Gammaridae","swimming",0.0014,"invertebrate",0.03,"RV1P3.csv"
"Ophiuroidea","walking",0.0023,"invertebrate",NA,"RV1P3.csv"
"Caprella sp.","walking",0.0047,"invertebrate",0.009,"RV1P3.csv"
"Musculus costulatus","sessile",0.0085,"invertebrate",0.36,"RV1P3.csv"
"Modiolula phaseolina","sessile",0.0075,"invertebrate",0.023,"RV1P3.csv"
"Cardiidae","sessile",2e-04,"invertebrate",2e-04,"RV1P3.csv"
"Angulus tenuis","sessile",2e-04,"invertebrate",2e-04,"RV1P3.csv"
"Solecurtus strigilatus","sessile",0.0099,"invertebrate",0.02,"RV1P3.csv"
"Turtonia minuta","sessile",8e-04,"invertebrate",8e-04,"RV1P3.csv"
"Turritellidae","walking",9e-04,"invertebrate",9e-04,"RV1P3.csv"
"Tanaidacea","walking",0.0015,"invertebrate",0.04,"RV1P3.csv"
"Nematoda","walking",0.01,"invertebrate",0.01,"RV1P3.csv"
"Oligochaeta","walking",0.0014,"invertebrate",0.03,"RV1P3.csv"
"Mytilus galloprovincialis","sessile",0.189,"invertebrate",3.78,"RV1P3.csv"
"Jaera sp.","swimming",0.01,"invertebrate",0.01,"RV1P3.csv"
"Ulva lactuca","sessile",0.000228,"primary producer",169.4,"RV1P3.csv"
"Pantopoda","walking",0.005,"invertebrate",0.005,"RV1P3.csv"
"Paracentrotus lividus","walking",23.29,"invertebrate",23.29,"RV1P3.csv"
"Acanthochitona crinita","walking",0.0052,"invertebrate",0.04,"RV1P3.csv"
"Lepidochitona cinerea","walking",0.0075,"invertebrate",0.008,"RV1P3.csv"
"Patella ulyssiponensis","walking",0.0043,"invertebrate",0.004,"RV1P3.csv"
"Gibbula umbilicalis","walking",0.103,"invertebrate",1.96,"RV1P3.csv"
"Rissoidae","walking",0.0015,"invertebrate",0.002,"RV1P3.csv"
"Omalogyra atomus","walking",4e-04,"invertebrate",0.004,"RV1P3.csv"
"Barleeia sp.","walking",0.0023,"invertebrate",0.05,"RV1P3.csv"
"Sphaeromatidae","walking",3e-04,"invertebrate",9e-04,"RV1P3.csv"
"Munnidae","walking",2e-04,"invertebrate",2e-04,"RV1P3.csv"
"Ampithoidae","swimming",0.0014,"invertebrate",0.04,"RV1P3.csv"
"Stenothoidae","swimming",5e-04,"invertebrate",0.012,"RV1P3.csv"
"Calliopidae","swimming",0.0053,"invertebrate",0.005,"RV1P3.csv"
"Pirimela denticulata","walking",0.0041,"invertebrate",0.021,"RV1P3.csv"
"Codium sp.","sessile",0.000228,"primary producer",15.61,"RV1P3.csv"
"Leathesia marina","sessile",0.000228,"primary producer",5.3,"RV1P3.csv"
"Colpomenia peregrina","sessile",0.000228,"primary producer",3.13,"RV1P3.csv"
"Cystoseira sp.","sessile",0.000228,"primary producer",22,"RV1P3.csv"
"Sphacelaria cirrosa","sessile",0.000228,"primary producer",96.8,"RV1P3.csv"
"Saccorhiza polyschides","sessile",0.000228,"primary producer",15.12,"RV1P3.csv"
"Asparagopsis armata","sessile",0.000228,"primary producer",101.7,"RV1P3.csv"
"Ellisolandia elongata","sessile",0.000228,"primary producer",13.55,"RV1P3.csv"
"Lithophyllum sp.","sessile",0.000228,"primary producer",55.8,"RV1P3.csv"
"Ceramium ciliatum","sessile",0.000228,"primary producer",326.6,"RV1P3.csv"
"Anemonia sulcata","sessile",100.6,"invertebrate",100.6,"RV1P3.csv"
"Epitonium clathrus","walking",0.1218,"invertebrate",0.12,"RV1P3.csv"
"Turridae","walking",8e-04,"invertebrate",0.005,"RV1P3.csv"
"Marthasterias glacialis","walking",0.01,"invertebrate",0.1,"RV1P3.csv"
"Nucella sp.","walking",0.9,"invertebrate",0.9,"RV1P3.csv"
"Polinices sp.","walking",1.22,"invertebrate",1.22,"RV1P3.csv"
"Cumacea","walking",0.01,"invertebrate",0.001,"RV1P3.csv"
